date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-05-27,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.9,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-05-28,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.93,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-05-29,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.0,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-05-30,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.31,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-05-31,ORNN-H200,global,H200,,global,rental_index,on_demand,,,5.03,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-01,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.66,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-02,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.12,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-03,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.91,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-04,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.93,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-05,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.37,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-06,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.71,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-07,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.71,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-08,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.6,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-09,ORNN-H200,global,H200,,global,rental_index,on_demand,,,4.13,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-10,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.79,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
2026-06-11,ORNN-H200,global,H200,,global,rental_index,on_demand,,,3.8,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/H200/index-history,2026-08-27T17:04:22.325250+00:00
