date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-05-27,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.86,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-05-28,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.97,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-05-29,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.16,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-05-30,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.33,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-05-31,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.32,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-01,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.23,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-02,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.13,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-03,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.1,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-04,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.13,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-05,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.08,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-06,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,1.04,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-07,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.99,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-08,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.88,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-09,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.84,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-10,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.82,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-11,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.77,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-12,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.74,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-13,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.73,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-14,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.7,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
