SMM-A10-24G-单卡-全国-包月-零售(元/卡·时),,,,SMM-910B-64G-整机-全国-包月-零售(元/卡·时),,,,SMM-910B-64G-整机-西部-包月(元/卡·时),,,,SMM-910B-64G-整机-成渝-包月(元/卡·时),,,,SMM-910B-64G-整机-京津冀-包月(元/卡·时),,,,SMM-PRO6000-96G-单卡-全国-短期-零售(元/卡·时),,,,SMM-A100-40G-单卡-全国-包月-零售(元/卡·时),,,,SMM-A100-40G-单卡-全国-短期-零售(元/卡·时),,,,SMM-A100-40G-整机-全国-包月-零售(元/卡·时),,,,SMM-A100-40G-整机-成渝-包月(元/卡·时),,,,SMM-A100-80G-整机-全国-包月-零售(元/卡·时),,,,SMM-A100-80G-整机-成渝-包月(元/卡·时),,,,SMM-A100-80G-整机-京津冀-包月(元/卡·时),,,,SMM-A100-80G-整机-珠三角-包月(元/卡·时),,,,SMM-A100-80G-单卡-全国-包月-零售(元/卡·时),,,,SMM-A100-80G-单卡-全国-短期-零售(元/卡·时),,,,SMM-A100-80G-整机-长三角-包月(元/卡·时),,,,SMM-A800-80G-整机-全国-包月-零售(元/卡·时),,,,SMM-A800-80G-整机-成渝-包月(元/卡·时),,,,SMM-A800-80G-单卡-全国-包月-零售(元/卡·时),,,,SMM-A800-80G-单卡-全国-短期-零售(元/卡·时),,,,SMM-A800-80G-整机-京津冀-包月(元/卡·时),,,,SMM-A800-40G-整机-长三角-包月(元/卡·时),,,,SMM-A800-80G-整机-长三角-短期-零售(元/卡·时),,,,SMM-A800-80G-整机-全国-短期-零售(元/卡·时),,,,SMM-A800-80G-整机-长三角-包月(元/卡·时),,,,SMM-H20-96G-单卡-全国-短期-零售(元/卡·时),,,,SMM-H20-141G-整机-成渝-包月(元/卡·时),,,,SMM-H20-96G-整机-京津冀-包月(元/卡·时),,,,SMM-H100-80G-单卡-全国-短期-零售(元/卡·时),,,,SMM-H100-80G-整机-长三角-包月(元/卡·时),,,,SMM-H100-80G-整机-西部-包月(元/卡·时),,,,SMM-H800-80G-单卡-全国-短期-零售(元/卡·时),,,,SMM-H800-80G-整机-京津冀-包月(元/卡·时),,,,,SMM-5090-32G-单卡-全国-包月-零售(元/卡·时),,,SMM-5090-32G-单卡-全国-短期-零售(元/卡·时),,,,SMM-5090-32G-整机-珠三角-短期-零售(元/卡·时),,,,SMM-5090-32G-单卡-西部-短期-零售(元/卡·时),,,,SMM-5090-32G-整机-全国-包月-零售(元/卡·时),,,,SMM-5090-32G-单卡-京津冀-短期-零售(元/卡·时),,,,SMM-5090-32G-整机-全国-短期-零售(元/卡·时),,,,SMM-4090D-24G-单卡-全国-短期-零售(元/卡·时),,,,SMM-4090-48G-单卡-长三角-短期-零售(元/卡·时),,,,SMM-4090-48G-整机-西部-短期-零售(元/卡·时),,,,SMM-4090-24G-单卡-西部-包月-零售(元/卡·时),,,,SMM-4090-24G-整机-西部-包月-零售(元/卡·时),,,,SMM-4090-24G-单卡-西部-短期-零售(元/卡·时),,,,SMM-4090-24G-整机-全国-短期-零售(元/卡·时),,,,SMM-4090-24G-单卡-成渝-短期-零售(元/卡·时),,,,SMM-4090-24G-单卡-全国-包月-零售(元/卡·时),,,,SMM-4090-24G-整机-全国-包月-零售(元/卡·时),,,,SMM-4090-24G-单卡-京津冀-短期-零售(元/卡·时),,,,SMM-4090-24G-单卡-全国-短期-零售(元/卡·时),,,,SMM-4090-24G-整机-珠三角-包月(元/卡·时),,,,SMM-4090-24G-单卡-长三角-短期-零售(元/卡·时),,,,SMM-4090-24G-整机-西部-短期-零售(元/卡·时),,,,SMM-4090-24G-整机-长三角-包月(元/卡·时),,,,
最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价,最高价,日均价,涨跌,最低价
总均价,4.08,6.18,5.7,-,3.41,33.1,5.27,-,1.95,3.04,2.5,-,3.22,3.65,3.43,-,2.98,3.82,3.4,-,5.83,7.97,6.14,-,2.21,12.53,3.41,-,2.48,3.49,3.06,-,2.23,13,3.19,-,2.08,2.08,2.08,-,4.65,12.44,5.85,-,6.21,6.6,6.41,-,5.03,5.63,5.33,-,5.47,5.79,5.63,-,5.57,12.26,8.64,-,6.61,16.07,7.73,-,5.31,6.57,5.94,-,4.8,6.76,5.92,-,6.08,6.08,6.08,-,4,7,5.25,-,4.74,7.52,6.09,-,5.53,5.73,5.63,-,2.65,3.17,2.91,-,6.23,6.77,6.49,-,6.07,7.19,6.56,-,5.21,5.21,5.21,-,6.19,7.98,7.18,-,7.29,8.08,7.7,-,6.77,7.29,7.03,-,11.98,17.74,15.3,-,13.12,13.56,13.33,-,12.68,13.38,13.03,-,8.69,22.89,12.91,-,12.09,12.8,12.45,-,2.08,3.46,2.43,-,2.29,3.3,2.9,-,2.39,2.56,2.48,-,2.56,4.26,2.93,-,1.98,3.46,2.44,-,2.56,3.04,2.89,-,2.2,4.09,2.81,-,1.75,1.98,1.83,-,2.2,3.42,2.57,-,2.45,2.98,2.64,-,1.39,2.2,1.62,-,1.21,2.14,1.66,-,1.73,2.2,1.91,-,1.49,3.57,1.94,-,1.93,2.85,2.04,-,1.47,2.17,1.66,-,1.37,2.21,1.66,-,1.55,2.29,1.98,-,1.4,2.22,1.92,-,1.24,1.36,1.3,-,1.27,1.91,1.63,-,1.76,3.91,2.05,-,1.21,1.28,1.25,-
2026-08-26,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,2.22,-0.79,2.38,3.45,2.8,-0.28,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,8,0,5.9,6.6,6.25,0,5.03,6.94,5.89,-0.23,6.08,6.08,6.08,0,4,7,5.28,-0.74,4.68,7.69,5.83,-0.38,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,-0.26,6.08,7.19,6.66,-0.14,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.24,13.89,0,12.85,13.8,13.32,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.14,3.32,2.86,0.03,2.38,2.5,2.45,0,2.56,4.5,2.93,0,2,3.47,2.6,0.23,2.56,3.04,2.89,0,2.24,4.5,2.98,0.63,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.78,2.99,2.84,0.28,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.49,2.95,1.88,0,1.93,2.86,2.04,0,1.46,2.1,1.69,0,1.35,2.27,1.75,0,1.2,2.29,1.98,0,1.35,2.21,1.88,-0.01,1.25,1.32,1.27,0,1.35,1.89,1.65,0,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-25,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.01,0,2.38,3.45,3.08,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,8,0,5.9,6.6,6.25,0,4.51,6.94,6.12,0.23,6.08,6.08,6.08,0,4,7,6.02,0,4.68,7.36,6.21,0,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.46,6.8,6.66,0.26,6.46,7.52,6.8,0.14,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.24,13.89,0.09,12.85,13.8,13.32,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.2,3.32,2.83,-0.03,2.38,2.5,2.45,0,2.56,4.5,2.93,0,1.78,3.47,2.37,-0.23,2.56,3.04,2.89,0,1.88,4.5,2.35,-0.63,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.7,2.21,1.88,0,1.49,2.95,1.88,0,1.93,2.86,2.04,0,1.46,2.1,1.69,0,1.35,2.27,1.75,0.08,1.2,2.29,1.98,0,1.35,2.21,1.89,0,1.25,1.32,1.27,0,1.35,1.89,1.65,-0.06,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-24,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.01,0.79,2.38,3.45,3.08,0.28,2.07,13.2,3.21,0.61,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,8,0,5.9,6.6,6.25,0,5.03,6.94,5.89,0,6.08,6.08,6.08,0,4,7,6.02,0,4.68,7.36,6.21,0,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,0,6.08,7.19,6.66,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,12.85,13.8,13.32,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.14,3.32,2.86,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,2,3.47,2.6,0,2.56,3.04,2.89,0,2.24,4.5,2.98,0,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.37,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.7,2.21,1.88,0,1.49,2.95,1.88,0,1.93,2.86,2.04,0,1.46,2.1,1.69,0,1.35,2.27,1.67,0,1.2,2.29,1.98,0,1.38,2.21,1.89,0.01,1.25,1.32,1.27,-0.02,1.35,2,1.71,0,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-21,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,2.22,-0.79,2.38,3.45,2.8,-0.31,2.07,13.2,2.6,-0.61,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,8,0,5.9,6.6,6.25,0,5.03,6.94,5.89,-0.23,6.08,6.08,6.08,0,4,7,6.02,0.74,4.68,7.36,6.21,0.38,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,-0.26,6.08,7.19,6.66,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,12.85,13.8,13.32,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.14,3.32,2.86,-0.03,2.38,2.5,2.45,0,2.56,4.5,2.93,0,2,3.47,2.6,0.3,2.56,3.04,2.89,0,2.24,4.5,2.98,0.48,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.48,3.6,1.88,0.07,1.93,2.86,2.04,0,1.46,2.1,1.69,0.03,1.35,2.16,1.67,0.08,1.2,2.29,1.98,0,1.36,2.21,1.88,0,1.27,1.32,1.29,0,1.35,2,1.71,0,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-20,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.01,-0.06,2.52,3.45,3.11,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,8,0.15,5.9,6.6,6.25,-0.13,4.51,6.94,6.12,0,6.08,6.08,6.08,0,4,7,5.28,0,4.68,7.69,5.83,0,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.46,6.8,6.66,0,6.06,7.52,6.66,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,12.85,13.8,13.32,-0.13,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.21,3.32,2.89,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,1.78,3.47,2.3,-0.3,2.56,3.04,2.89,0,1.99,4.5,2.5,-0.94,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.49,3.6,1.81,0,1.93,2.86,2.04,0,1.46,2.08,1.66,0,1.35,2.09,1.59,0,1.2,2.29,1.98,0,1.38,2.21,1.88,0,1.27,1.32,1.29,0,1.35,2,1.71,0,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-19,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.07,0.06,2.38,3.49,3.11,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.98,16.16,7.85,0,6.16,6.6,6.38,0,4.51,6.94,6.12,0.23,6.08,6.08,6.08,0,4,7,5.28,0,4.68,7.69,5.83,0,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.46,6.8,6.66,0.26,6.06,7.52,6.66,0.2,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,13.11,13.8,13.45,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.21,3.32,2.89,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,1.93,3.47,2.6,0,2.56,3.04,2.89,0,2.25,4.5,3.44,0,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.49,3.6,1.81,-0.04,1.93,2.86,2.04,0,1.46,2.08,1.66,0,1.35,2.09,1.59,-0.08,1.2,2.29,1.98,0,1.38,2.21,1.88,0,1.27,1.32,1.29,0,1.35,2,1.71,0.06,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-18,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.01,0,2.52,3.45,3.11,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.68,16.16,7.85,0,6.16,6.6,6.38,0,5.03,6.94,5.89,0,6.08,6.08,6.08,0,4,7,5.28,0,4.68,7.69,5.83,0,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,0,6.06,6.99,6.46,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,13.11,13.8,13.45,0.21,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.21,3.32,2.89,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,1.93,3.47,2.6,0.3,2.56,3.04,2.89,0,2.25,4.5,3.44,0.46,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.49,3.6,1.85,0,1.93,2.86,2.04,0,1.46,2.08,1.66,0,1.35,2.16,1.67,0,1.2,2.29,1.98,0,1.38,2.21,1.88,0,1.27,1.32,1.29,0,1.24,1.89,1.65,-0.06,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-17,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.01,-0.06,2.52,3.45,3.11,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.68,16.16,7.85,0,6.16,6.6,6.38,0,5.03,6.94,5.89,0,6.08,6.08,6.08,0,4,7,5.28,-0.39,4.68,7.69,5.83,-0.4,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,0,6.06,6.99,6.46,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,12.67,13.8,13.24,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.21,3.32,2.89,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,2,3.47,2.3,-0.3,2.56,3.04,2.89,0,2.35,4.5,2.98,-0.46,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0,1.69,2.21,1.88,0,1.49,3.6,1.85,-0.03,1.93,2.86,2.04,0,1.46,2.08,1.66,0,1.35,2.16,1.67,0.02,1.2,2.29,1.98,0,1.38,2.21,1.88,0,1.27,1.32,1.29,-0.02,1.35,2,1.71,0.06,1.72,3.95,1.88,0,1.25,1.3,1.28,0
2026-08-14,4.08,6.18,5.7,0,3.39,33.68,5.5,0,1.74,3.04,2.39,0,2.88,3.65,3.26,0,2.95,3.82,3.39,0,5.83,7.97,6.04,0,2.21,12.73,3.07,0,2.38,3.49,3.11,0,2.07,13.2,3.21,0,2.08,2.08,2.08,0,4.65,12.04,5.73,0,6.25,6.6,6.43,0,5.03,6.08,5.56,0,5.38,5.56,5.47,0,5.56,12.04,8.96,0,6.68,16.16,7.85,0,6.16,6.6,6.38,0,5.03,6.94,5.89,0,6.08,6.08,6.08,0,4,7,5.67,0.39,4.76,7.2,6.23,0.4,5.38,5.73,5.56,0,2.6,3.47,3.04,0,6.08,6.8,6.4,0,6.06,6.99,6.46,0,5.21,5.21,5.21,0,6.2,7.98,7.2,0,7.29,8.51,7.9,0,6.77,7.29,7.03,0,11.98,17.88,15.29,0,13.54,14.06,13.8,0,12.67,13.8,13.24,0,8.69,25,12,0,11.89,12.85,12.37,0,2.08,3.47,2.45,0,2.21,3.32,2.89,0,2.38,2.5,2.45,0,2.56,4.5,2.93,0,2.08,3.47,2.6,0,2.56,3.04,2.89,0,2.25,4.5,3.44,0,1.75,1.98,1.79,0,2.2,3.42,2.53,0,2.29,2.99,2.56,0,1.28,2.08,1.6,0,1.35,2.08,1.67,0.02,1.69,2.21,1.88,0,1.55,3.6,1.88,0,1.93,2.86,2.04,0,1.46,2.08,1.66,0,1.35,2.27,1.65,0.06,1.2,2.29,1.98,0,1.38,2.21,1.88,0,1.3,1.32,1.31,0,1.24,1.89,1.65,-0.06,1.72,3.95,1.88,0,1.25,1.3,1.28,0
