model_type,boundary_distance_bin,n,price_abs_error_mean,price_abs_error_p95,delta_abs_error_mean,delta_abs_error_p95,split
dml,<=0.0025,280,0.00035174512013476416,0.00019308604302134427,0.0005228964639821531,0.0005182850603569297,test
dml,"(0.0025,0.005]",294,9.607847373825149e-05,0.0001917102557427282,0.00022502225756612247,0.0007089216780316725,test
dml,"(0.005,0.01]",568,9.108586965363633e-05,0.0001851891970171948,0.0002107799387524529,0.000600041649010204,test
dml,"(0.01,0.025]",1656,0.0001021142322801337,0.00019572722632199715,0.00021048205908712157,0.00044760846592822585,test
dml,"(0.025,0.05]",2176,0.00010031724611260615,0.0002066978541458107,0.00016942736488019574,0.00039219853120249184,test
dml,"(0.05,0.10]",2337,0.00017446393250986506,0.0002018149507630922,0.00025036932403067,0.00037011354909603447,test
dml,>0.10,881,0.00015598360110597112,0.0002211672612059135,0.0001561461945643753,0.0002993481548747371,test
mlp,<=0.0025,280,0.00011739784513328031,0.0002367763409233084,0.0014105552971293543,0.003126737908579806,test
mlp,"(0.0025,0.005]",294,8.826844855471471e-05,0.00020399334815468574,0.001209920224954221,0.003174856276314926,test
mlp,"(0.005,0.01]",568,8.785548076052276e-05,0.00020592148024683408,0.0011336133247909675,0.002818038812737754,test
mlp,"(0.01,0.025]",1656,9.693394010756986e-05,0.00020589384548250618,0.0013391100421855867,0.0031067398301547803,test
mlp,"(0.025,0.05]",2176,9.191097609001779e-05,0.00021518422197015023,0.001337376557237053,0.00315681347369052,test
mlp,"(0.05,0.10]",2337,0.0001712228059475158,0.00019963332991237986,0.001280490771551408,0.0026144828907024363,test
mlp,>0.10,881,0.00015358209098382774,0.0001801462120582121,0.0006785281137797316,0.00186423950654292,test
dml,<=0.0025,25,9.902859259876894e-05,0.0001868627911153542,0.00022869837744213213,0.0008395668393163512,reference
dml,"(0.0025,0.005]",33,8.522452356267094e-05,0.00016624644294850705,0.0001884141408107525,0.0006131838907301091,reference
dml,"(0.005,0.01]",77,9.560115765470554e-05,0.00018264992281553414,0.0002496901521780209,0.0008859922116392725,reference
dml,"(0.01,0.025]",209,8.279753881462906e-05,0.00018883304918280972,0.00018000124300015575,0.000459530884628571,reference
dml,"(0.025,0.05]",261,0.00019958695694938347,0.00020308434337215227,0.0003085171767431046,0.0003680977807183836,reference
dml,"(0.05,0.10]",314,8.574280026874859e-05,0.00021834684153057804,0.00011819028899200238,0.0003887612260657258,reference
dml,>0.10,105,9.594059493261311e-05,0.000212326136852808,0.00015574391827355292,0.0004246908845998037,reference
mlp,<=0.0025,25,8.327536819420668e-05,0.00014653534460049795,0.0010983273775153084,0.002495727912192775,reference
mlp,"(0.0025,0.005]",33,8.616783786862527e-05,0.00019727831399324593,0.0011573120720528237,0.003050262390500823,reference
mlp,"(0.005,0.01]",77,9.412284544328534e-05,0.00022223345440894213,0.001254468159465624,0.0035764125720906897,reference
mlp,"(0.01,0.025]",209,7.874339078338494e-05,0.000232411149421024,0.001091067384071916,0.002992285180951035,reference
mlp,"(0.025,0.05]",261,0.00027434981143207026,0.0002295680726237843,0.0023727245436610325,0.00314636089343696,reference
mlp,"(0.05,0.10]",314,6.908078913954362e-05,0.00021389057147652054,0.0011097901584646882,0.002852684078740862,reference
mlp,>0.10,105,8.843383629496928e-05,0.00013862633203681334,0.0007611595564059505,0.0027308884477381403,reference
