model_type,error_metric,feature,spearman_rho,abs_spearman_rho,n,split
dml,price_abs_error_mean,expected_final_avg_K_Q,0.7365792740461387,0.7365792740461387,8192,test
dml,price_abs_error_mean,expected_moneyness_Q,0.7365792740461387,0.7365792740461387,8192,test
dml,price_abs_error_mean,theta_q_log_K,0.657613248853778,0.657613248853778,8192,test
dml,price_abs_error_mean,fixed_avg_contrib_K,0.20170152849536804,0.20170152849536804,8192,test
dml,price_abs_error_mean,n_fix_past,0.18833169964502772,0.18833169964502772,8192,test
dml,price_abs_error_mean,n_fix_future,-0.18833169964502772,0.18833169964502772,8192,test
dml,price_abs_error_mean,tau,-0.1842042373165054,0.1842042373165054,8192,test
dml,price_abs_error_mean,required_future_avg_K_for_strike,-0.17176657500729378,0.17176657500729378,8192,test
dml,price_abs_error_mean,past_avg_K,0.16471165139627716,0.16471165139627716,7474,test
dml,price_abs_error_mean,spot_minus_required_future_avg,0.13766756464644586,0.13766756464644586,8192,test
dml,price_abs_error_mean,abs_expected_moneyness_Q,-0.11532089712100925,0.11532089712100925,8192,test
dml,price_abs_error_mean,spot_K,0.05007204498240828,0.05007204498240828,8192,test
dml,price_abs_error_mean,sigma_q,0.02130536012663911,0.02130536012663911,8192,test
dml,price_abs_error_mean,kappa_q,0.01981204592149828,0.01981204592149828,8192,test
dml,price_abs_error_mean,r,0.011272859429265888,0.011272859429265888,8192,test
mlp,price_abs_error_mean,expected_final_avg_K_Q,0.6375586057596692,0.6375586057596692,8192,test
mlp,price_abs_error_mean,expected_moneyness_Q,0.6375586057596692,0.6375586057596692,8192,test
mlp,price_abs_error_mean,theta_q_log_K,0.5796546887140888,0.5796546887140888,8192,test
mlp,price_abs_error_mean,fixed_avg_contrib_K,0.3214293129817299,0.3214293129817299,8192,test
mlp,price_abs_error_mean,tau,-0.3107488850282959,0.3107488850282959,8192,test
mlp,price_abs_error_mean,n_fix_past,0.3104190804376964,0.3104190804376964,8192,test
mlp,price_abs_error_mean,n_fix_future,-0.3104190804376964,0.3104190804376964,8192,test
mlp,price_abs_error_mean,abs_expected_moneyness_Q,-0.2623471402234315,0.2623471402234315,8192,test
mlp,price_abs_error_mean,required_future_avg_K_for_strike,-0.15141177630997352,0.15141177630997352,8192,test
mlp,price_abs_error_mean,past_avg_K,0.13821561918655786,0.13821561918655786,7474,test
mlp,price_abs_error_mean,spot_minus_required_future_avg,0.1252217614029505,0.1252217614029505,8192,test
mlp,price_abs_error_mean,spot_K,0.04484606941632242,0.04484606941632242,8192,test
mlp,price_abs_error_mean,r,-0.022690643134443036,0.022690643134443036,8192,test
mlp,price_abs_error_mean,kappa_q,-0.00840630605110145,0.00840630605110145,8192,test
mlp,price_abs_error_mean,sigma_q,0.003059106990037542,0.003059106990037542,8192,test
dml,delta_abs_error_mean,expected_final_avg_K_Q,0.5976660620218907,0.5976660620218907,8192,test
dml,delta_abs_error_mean,expected_moneyness_Q,0.5976660620218907,0.5976660620218907,8192,test
dml,delta_abs_error_mean,theta_q_log_K,0.5511956788020962,0.5511956788020962,8192,test
dml,delta_abs_error_mean,tau,-0.32573336219576543,0.32573336219576543,8192,test
dml,delta_abs_error_mean,fixed_avg_contrib_K,0.3056616443470745,0.3056616443470745,8192,test
dml,delta_abs_error_mean,n_fix_past,0.30125473671351094,0.30125473671351094,8192,test
dml,delta_abs_error_mean,n_fix_future,-0.30125473671351094,0.30125473671351094,8192,test
dml,delta_abs_error_mean,abs_expected_moneyness_Q,-0.24586390867283106,0.24586390867283106,8192,test
dml,delta_abs_error_mean,required_future_avg_K_for_strike,-0.0909972223125026,0.0909972223125026,8192,test
dml,delta_abs_error_mean,spot_minus_required_future_avg,0.08771963567887588,0.08771963567887588,8192,test
dml,delta_abs_error_mean,kappa_q,-0.07761539715252246,0.07761539715252246,8192,test
dml,delta_abs_error_mean,past_avg_K,0.05743879213823963,0.05743879213823963,7474,test
dml,delta_abs_error_mean,spot_K,0.03549228432303206,0.03549228432303206,8192,test
dml,delta_abs_error_mean,sigma_q,-0.0009143568158659237,0.0009143568158659237,8192,test
dml,delta_abs_error_mean,r,-0.0008767722086895773,0.0008767722086895773,8192,test
mlp,delta_abs_error_mean,expected_final_avg_K_Q,0.521083735367425,0.521083735367425,8192,test
mlp,delta_abs_error_mean,expected_moneyness_Q,0.521083735367425,0.521083735367425,8192,test
mlp,delta_abs_error_mean,theta_q_log_K,0.5015623464583745,0.5015623464583745,8192,test
mlp,delta_abs_error_mean,tau,-0.4831658344666621,0.4831658344666621,8192,test
mlp,delta_abs_error_mean,n_fix_past,0.46576009959490977,0.46576009959490977,8192,test
mlp,delta_abs_error_mean,n_fix_future,-0.46576009959490977,0.46576009959490977,8192,test
mlp,delta_abs_error_mean,fixed_avg_contrib_K,0.4650788111588882,0.4650788111588882,8192,test
mlp,delta_abs_error_mean,abs_expected_moneyness_Q,-0.34686876359328184,0.34686876359328184,8192,test
mlp,delta_abs_error_mean,kappa_q,-0.06285492296393846,0.06285492296393846,8192,test
mlp,delta_abs_error_mean,spot_minus_required_future_avg,0.03251308972239209,0.03251308972239209,8192,test
mlp,delta_abs_error_mean,required_future_avg_K_for_strike,-0.02264937917862423,0.02264937917862423,8192,test
mlp,delta_abs_error_mean,spot_K,0.01242313837023239,0.01242313837023239,8192,test
mlp,delta_abs_error_mean,r,-0.010406954390880439,0.010406954390880439,8192,test
mlp,delta_abs_error_mean,sigma_q,0.0036406674731994785,0.0036406674731994785,8192,test
mlp,delta_abs_error_mean,past_avg_K,0.002375697081130831,0.002375697081130831,7474,test
dml,price_abs_error_mean,expected_final_avg_K_Q,0.7664344243973964,0.7664344243973964,1024,reference
dml,price_abs_error_mean,expected_moneyness_Q,0.7664344243973964,0.7664344243973964,1024,reference
dml,price_abs_error_mean,theta_q_log_K,0.6701360551820328,0.6701360551820328,1024,reference
dml,price_abs_error_mean,fixed_avg_contrib_K,0.20980501017227493,0.20980501017227493,1024,reference
dml,price_abs_error_mean,n_fix_past,0.19657458779748957,0.19657458779748957,1024,reference
dml,price_abs_error_mean,n_fix_future,-0.19657458779748957,0.19657458779748957,1024,reference
dml,price_abs_error_mean,tau,-0.19247607243759388,0.19247607243759388,1024,reference
dml,price_abs_error_mean,required_future_avg_K_for_strike,-0.17580619300658518,0.17580619300658518,1024,reference
dml,price_abs_error_mean,past_avg_K,0.15537786496045797,0.15537786496045797,934,reference
dml,price_abs_error_mean,spot_minus_required_future_avg,0.1384088003361705,0.1384088003361705,1024,reference
dml,price_abs_error_mean,abs_expected_moneyness_Q,-0.10056424790787497,0.10056424790787497,1024,reference
dml,price_abs_error_mean,r,0.03736071498819827,0.03736071498819827,1024,reference
dml,price_abs_error_mean,kappa_q,0.02966271189471425,0.02966271189471425,1024,reference
dml,price_abs_error_mean,spot_K,0.027624767541663684,0.027624767541663684,1024,reference
dml,price_abs_error_mean,sigma_q,-0.006270843019097346,0.006270843019097346,1024,reference
mlp,price_abs_error_mean,expected_final_avg_K_Q,0.6792128379586581,0.6792128379586581,1024,reference
mlp,price_abs_error_mean,expected_moneyness_Q,0.6792128379586581,0.6792128379586581,1024,reference
mlp,price_abs_error_mean,theta_q_log_K,0.6156018212216579,0.6156018212216579,1024,reference
mlp,price_abs_error_mean,fixed_avg_contrib_K,0.2948187890627664,0.2948187890627664,1024,reference
mlp,price_abs_error_mean,tau,-0.28747297671840355,0.28747297671840355,1024,reference
mlp,price_abs_error_mean,n_fix_past,0.2855354954991596,0.2855354954991596,1024,reference
mlp,price_abs_error_mean,n_fix_future,-0.2855354954991596,0.2855354954991596,1024,reference
mlp,price_abs_error_mean,abs_expected_moneyness_Q,-0.24972244698161788,0.24972244698161788,1024,reference
mlp,price_abs_error_mean,required_future_avg_K_for_strike,-0.1406144875498754,0.1406144875498754,1024,reference
mlp,price_abs_error_mean,past_avg_K,0.11997042341157377,0.11997042341157377,934,reference
mlp,price_abs_error_mean,spot_minus_required_future_avg,0.11412297269508616,0.11412297269508616,1024,reference
mlp,price_abs_error_mean,spot_K,0.021231895071883267,0.021231895071883267,1024,reference
mlp,price_abs_error_mean,kappa_q,-0.01810749856948716,0.01810749856948716,1024,reference
mlp,price_abs_error_mean,r,-0.016895105410914813,0.016895105410914813,1024,reference
mlp,price_abs_error_mean,sigma_q,-0.0006104825298619555,0.0006104825298619555,1024,reference
dml,delta_abs_error_mean,expected_final_avg_K_Q,0.6248568481331808,0.6248568481331808,1024,reference
dml,delta_abs_error_mean,expected_moneyness_Q,0.6248568481331808,0.6248568481331808,1024,reference
dml,delta_abs_error_mean,theta_q_log_K,0.5675204742150061,0.5675204742150061,1024,reference
dml,delta_abs_error_mean,tau,-0.3391559415456691,0.3391559415456691,1024,reference
dml,delta_abs_error_mean,fixed_avg_contrib_K,0.31871412977711033,0.31871412977711033,1024,reference
dml,delta_abs_error_mean,n_fix_past,0.31616317734877014,0.31616317734877014,1024,reference
dml,delta_abs_error_mean,n_fix_future,-0.31616317734877014,0.31616317734877014,1024,reference
dml,delta_abs_error_mean,abs_expected_moneyness_Q,-0.24048591615406617,0.24048591615406617,1024,reference
dml,delta_abs_error_mean,spot_minus_required_future_avg,0.07787733128889206,0.07787733128889206,1024,reference
dml,delta_abs_error_mean,required_future_avg_K_for_strike,-0.07630208836127242,0.07630208836127242,1024,reference
dml,delta_abs_error_mean,kappa_q,-0.059571650811816035,0.059571650811816035,1024,reference
dml,delta_abs_error_mean,past_avg_K,0.034868746156705925,0.034868746156705925,934,reference
dml,delta_abs_error_mean,spot_K,0.013271214058364922,0.013271214058364922,1024,reference
dml,delta_abs_error_mean,r,-0.008722116175523924,0.008722116175523924,1024,reference
dml,delta_abs_error_mean,sigma_q,0.004747961519204634,0.004747961519204634,1024,reference
mlp,delta_abs_error_mean,expected_final_avg_K_Q,0.5332760867427222,0.5332760867427222,1024,reference
mlp,delta_abs_error_mean,expected_moneyness_Q,0.5332760867427222,0.5332760867427222,1024,reference
mlp,delta_abs_error_mean,tau,-0.5069103716651169,0.5069103716651169,1024,reference
mlp,delta_abs_error_mean,theta_q_log_K,0.4947546558722551,0.4947546558722551,1024,reference
mlp,delta_abs_error_mean,n_fix_past,0.489838116517114,0.489838116517114,1024,reference
mlp,delta_abs_error_mean,n_fix_future,-0.489838116517114,0.489838116517114,1024,reference
mlp,delta_abs_error_mean,fixed_avg_contrib_K,0.4886095605470631,0.4886095605470631,1024,reference
mlp,delta_abs_error_mean,abs_expected_moneyness_Q,-0.3481839639510764,0.3481839639510764,1024,reference
mlp,delta_abs_error_mean,kappa_q,-0.08555710651956226,0.08555710651956226,1024,reference
mlp,delta_abs_error_mean,spot_minus_required_future_avg,0.035694893963235816,0.035694893963235816,1024,reference
mlp,delta_abs_error_mean,r,-0.031658422591374004,0.031658422591374004,1024,reference
mlp,delta_abs_error_mean,past_avg_K,-0.010284006016498426,0.010284006016498426,934,reference
mlp,delta_abs_error_mean,spot_K,0.00899358951434089,0.00899358951434089,1024,reference
mlp,delta_abs_error_mean,sigma_q,-0.0002416672627136828,0.0002416672627136828,1024,reference
mlp,delta_abs_error_mean,required_future_avg_K_for_strike,-8.333890119078692e-05,8.333890119078692e-05,1024,reference
