model_type,seed,target,n_eval,mse_share_top_0.001,mse_share_top_0.005,mse_share_top_0.01,mse_share_top_0.05,split
dml,1701,price,8192,0.9553704293238823,0.976933842401212,0.979197615659765,0.986047604707052,test
dml,1701,delta,8192,0.8813462544858738,0.9664070120084509,0.9718838643541291,0.983397260531814,test
dml,2701,price,8192,0.965741519219275,0.9886376216297238,0.9898381115689111,0.9933858995562012,test
dml,2701,delta,8192,0.9097016780048438,0.9800284727155741,0.9848612191568737,0.9926652871940568,test
dml,3701,price,8192,0.9852800831894036,0.997792987178551,0.9982319522292765,0.9989760483709464,test
dml,3701,delta,8192,0.9535493449871724,0.9904369993341372,0.9933854207923881,0.9971388228495779,test
dml,4701,price,8192,0.9546436657579772,0.9946553677589308,0.9954993203870837,0.9972282164290777,test
dml,4701,delta,8192,0.9106198702936613,0.9815752097826766,0.9859848321845475,0.9936291782679901,test
dml,5701,price,8192,0.9777656254652116,0.9985994541364102,0.9988783693630374,0.9993255649020838,test
dml,5701,delta,8192,0.968261736655461,0.9939524465561226,0.9955177599278393,0.9979569764121586,test
mlp,1701,price,8192,0.9800603512696504,0.9971254606376418,0.9979779207874722,0.9991876886942,test
mlp,1701,delta,8192,0.8594287400242163,0.9727550239058882,0.9831758201779073,0.9936906099792083,test
mlp,2701,price,8192,0.9602520458799498,0.9933286908523723,0.9948200736488231,0.9972675224673176,test
mlp,2701,delta,8192,0.898568790570582,0.9654815225249122,0.9745272377167835,0.9883960957402405,test
mlp,3701,price,8192,0.9788386273208421,0.9933913173793214,0.9948342587294741,0.9970907433486368,test
mlp,3701,delta,8192,0.8045335389357731,0.9567660525959102,0.970658126317721,0.9881272070536543,test
mlp,4701,price,8192,0.9763627577970013,0.9906573665924705,0.9923562024109039,0.9958305335863602,test
mlp,4701,delta,8192,0.8525476885365753,0.9548895976038186,0.9665011206399199,0.9842492699852946,test
mlp,5701,price,8192,0.9900956682388784,0.9974915229396023,0.9982769214018884,0.9992422275737809,test
mlp,5701,delta,8192,0.8568604294756984,0.9633286813980984,0.974679795860673,0.9903104251859044,test
dml,1701,price,1024,0.9522627463237282,0.9683095585230931,0.9711265433953741,0.9810363885112972,reference
dml,1701,delta,1024,0.9652150894232838,0.9799659411719582,0.9827159319254937,0.9904484998737422,reference
dml,2701,price,1024,0.9288734168691354,0.9584574107324068,0.9620010925242393,0.9750661064640013,reference
dml,2701,delta,1024,0.955541342070343,0.9729492979601538,0.9792228290637444,0.9902791827333138,reference
dml,3701,price,1024,0.9791463991770011,0.9902379510437253,0.9920401220465456,0.995668270760618,reference
dml,3701,delta,1024,0.6385436159524764,0.819932771138162,0.8621213562262775,0.9366065311828053,reference
dml,4701,price,1024,0.9628327571682538,0.9698622844291634,0.9735757012185013,0.9850846156788908,reference
dml,4701,delta,1024,0.6889785804906017,0.7928709889143467,0.8430111293769426,0.9266579694459975,reference
dml,5701,price,1024,0.9919256728725868,0.9934007570144631,0.9941475659575352,0.9966535618462129,reference
dml,5701,delta,1024,0.6761955705904719,0.8135958737494189,0.8695284532145824,0.9463894475600464,reference
mlp,1701,price,1024,0.9740662361085459,0.9942818982862425,0.996542847605275,0.9987722476733104,reference
mlp,1701,delta,1024,0.8034791515745803,0.9755291961851075,0.9832746933542738,0.9941271325172469,reference
mlp,2701,price,1024,0.9689478367566021,0.9869974828349163,0.9889439234275408,0.9947405177135348,reference
mlp,2701,delta,1024,0.8453940550844101,0.9566583956538824,0.9643320612144934,0.9824806970328648,reference
mlp,3701,price,1024,0.8086980258892571,0.9914151885846096,0.9927567915048913,0.9960230037331471,reference
mlp,3701,delta,1024,0.7960961844964334,0.939583390213404,0.956680103188139,0.9842446435072372,reference
mlp,4701,price,1024,0.9317509645702629,0.979022967255915,0.9819338482181037,0.9894432387661026,reference
mlp,4701,delta,1024,0.8897262553466312,0.9678651872664681,0.9744707308977031,0.9889775427933553,reference
mlp,5701,price,1024,0.8438191144412738,0.9896159159098741,0.9943771039233074,0.9973676140296814,reference
mlp,5701,delta,1024,0.8901541303354333,0.979565509485513,0.9893096121413905,0.9958085932783224,reference
