scenario_id,price_abs_error_mean_dml,price_abs_error_mean_mlp,delta_abs_error_mean_dml,delta_abs_error_mean_mlp,dml_minus_mlp_price_abs_error,dml_minus_mlp_delta_abs_error,spot_K,fixed_avg_contrib_K,tau,r,kappa_q,theta_q_log_K,sigma_q,n_fix_past,n_fix_future,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,split
test_0000000,8.597197565724215e-05,7.258885289206337e-05,8.238053245806797e-05,0.00127936212845368,1.3383122765178777e-05,-0.001196981595995612,1.0195175838863435,0.5808147308680996,0.3649161863606422,0.067306600511074,26.40617411397397,0.0869606549984376,0.5971704433858395,7,5,1.0338438328210517,0.033843832821051745,0.033843832821051745,test
test_0000001,1.4305790566124244e-05,6.179260058485764e-06,2.8325471281169208e-05,8.930983117484302e-05,8.12653050763848e-06,-6.0984359893673806e-05,1.0377632853159997,0.1624919097539086,0.779522807803005,0.0366251940280199,60.41127870604396,-0.1293846008037942,0.6511778904497624,2,10,0.8980648838224355,-0.10193511617756446,0.10193511617756446,test
test_0000002,0.00016043968589252847,0.00021564888803866634,0.00045966399288930004,0.003372357401776,-5.5209202146137875e-05,-0.0029126934088866997,1.0240904451060977,0.8770206820010166,0.1016435177531093,0.059229245185852,48.99748721905053,-0.0545707685892418,0.6706258468329906,10,2,1.0377781235821741,0.03777812358217414,0.03777812358217414,test
test_0000003,0.00012914919679787013,6.6039529361117e-05,0.00011050357871377774,0.00063398559393656,6.310966743675313e-05,-0.0005234820152227823,1.0001688935939277,0.3276057518631011,0.6349422761239112,0.009954013004899,84.31948518753052,0.0095257166880739,0.5772538514435291,4,8,1.0013083455229144,0.001308345522914367,0.001308345522914367,test
test_0000004,0.00017488005744962595,8.113785125613311e-05,0.00038607994391464003,0.0006917159391306999,9.374220619349285e-05,-0.0003056359952160599,1.02422706775164,0.6685479154139946,0.2606108395382762,0.026775849610567,77.8017096221447,0.0591583806246904,0.625156005769968,8,4,1.0212618702389584,0.021261870238958425,0.021261870238958425,test
test_0000005,0.000128569084097188,0.00018112539894136,0.00032073914128480943,0.00160062728137896,-5.255631484417202e-05,-0.0012798881400941505,1.1414595667131873,0.2670028214601905,0.6754638921935111,0.0774951767176389,43.88837254233658,-0.0202873923290101,0.6416518007218838,3,9,1.0127384723879995,0.012738472387999522,0.012738472387999522,test
test_0000006,2.2560273699162585e-05,2.8698783060131933e-05,4.122884647767591e-05,0.00015708335773672856,-6.1385093609693486e-06,-0.00011585451125905265,1.0673998778375955,0.5925729327926718,0.4135448310524225,0.0197751550376415,70.74067110940814,-0.0877390809198745,0.7014227087795735,7,5,0.974944004346525,-0.02505599565347505,0.02505599565347505,test
test_0000007,8.848493856413188e-05,4.171127612592196e-05,0.0001992732896431825,0.00130628654439286,4.677366243820992e-05,-0.0011070132547496775,1.1849901990708267,0.0,0.9470900206360966,0.0490881552547216,35.44989146851003,0.1239889800791901,0.5655414621531963,0,12,1.1360978576824239,0.13609785768242388,0.13609785768242388,test
test_0000008,0.00011089425089748322,1.8435173941288435e-05,0.00011199020405322542,0.0007637048020751,9.245907695619478e-05,-0.0006517145980218746,0.9768405659919888,0.8382023419573986,0.1527523170225322,0.0147842140495777,46.04792263545096,-0.1475018131109959,0.585150257498026,10,2,0.9826542207056195,-0.017345779294380526,0.017345779294380526,test
test_0000009,0.00017545560891577705,6.498476370902994e-05,7.576958061772099e-05,0.0010130936579803695,0.00011047084520674711,-0.0009373240773626485,1.058681215276169,0.4011511516756176,0.5694535940419883,0.0440990483015775,71.75812036544085,0.1049985600877302,0.681657696813345,5,7,1.0500839186884179,0.05008391868841788,0.05008391868841788,test
