split,model_type,fixing_boundary_distance_bin,n,price_abs_error_mean,price_abs_error_p95,delta_abs_error_mean,delta_abs_error_p95,delta_abs_error_max
reference,dml,<=0.25d,15,0.000690241361955483,0.0026748847983662422,0.0023778130766394503,0.0101347215244762,0.0301813146475902
reference,dml,"(0.25,0.5]d",19,0.00012467424264380147,0.00021531523587878967,0.0002309280997028689,0.0006843276621900691,0.0010578782112352
reference,dml,"(0.5,1]d",35,0.00010762795876141567,0.00023777317707521998,0.00038819488086156594,0.0008622194936874799,0.0045372023487241
reference,dml,"(1,2]d",67,0.00015004221864917548,0.0003132260925401597,0.000293172074402375,0.0010617138930166298,0.0024740631176771
reference,dml,"(2,3]d",69,0.0004144980482586012,0.0002320011542435998,0.0003748564901973929,0.0006753776640253199,0.0129100792268635
reference,dml,"(3,7]d",271,8.620645287575646e-05,0.0002106505653694,0.00014526649327755876,0.00044214381944345,0.0007998234968866
reference,dml,"(7,15]d",534,7.438772935495808e-05,0.00017566708233706998,0.0001166911611430956,0.0002685385876257098,0.0015397694635816
reference,dml,>15d,14,5.826404141869415e-05,0.00010315743163645487,0.00013855681916937452,0.00030111136944340996,0.0003589464421405
reference,mlp,<=0.25d,15,0.002123033924639021,0.009304120579748987,0.013721064668965,0.05985518302091812,0.1792626997464846
reference,mlp,"(0.25,0.5]d",19,9.661043181167483e-05,0.0002574175820421799,0.001064794604426484,0.002642399799051621,0.0063314253978285
reference,mlp,"(0.5,1]d",35,0.00010536745039063464,0.0002639506494738699,0.0014796730610725098,0.003841827928065678,0.0107083055629979
reference,mlp,"(1,2]d",67,0.00029187536335031905,0.0009684175430831579,0.00588879917516657,0.014970369742189508,0.1396794487744994
reference,mlp,"(2,3]d",69,0.0002637498188180148,0.00031995323486545986,0.0015817782507838267,0.0038505608340682995,0.0336218952564184
reference,mlp,"(3,7]d",271,7.297605092999212e-05,0.00021657827904065,0.0009539237486217111,0.0031486209593246496,0.012396253793763
reference,mlp,"(7,15]d",534,6.657607583066746e-05,0.00015912691668212484,0.0007277104703806185,0.002091936112936119,0.0110941846124389
reference,mlp,>15d,14,5.435593112365326e-05,0.00010393537159564,0.0006653562632455813,0.0014012191348911646,0.0019584577518261
test,dml,<=0.25d,135,0.0004981836425201798,0.0008927214127253497,0.0013746418413421039,0.004408244125449119,0.0727300646297241
test,dml,"(0.25,0.5]d",135,0.0011388963241778622,0.0009266165149146595,0.0021100696706157188,0.002261545190472158,0.0615396687647781
test,dml,"(0.5,1]d",275,0.00039652562873420977,0.0003191733454988604,0.0005056488805031206,0.0009829720647642308,0.0505074467799102
test,dml,"(1,2]d",542,0.00015005603891074504,0.0003245698135267349,0.00028518964547609785,0.0007770002722663584,0.0137920271800646
test,dml,"(2,3]d",544,0.00028832448637968074,0.00023575868233073017,0.0003047105039595827,0.0006348963714139802,0.0335395523666767
test,dml,"(3,7]d",2174,9.737421571121578e-05,0.00020055507214692994,0.00015745210718970775,0.0004301816647933949,0.0091612983774762
test,dml,"(7,15]d",4281,7.551764714567813e-05,0.0001730071134895,0.00011411977674010081,0.0002612811669911,0.0012216775178591
test,dml,>15d,106,7.354630616615694e-05,0.00017382410064604997,0.00010875715886386102,0.000256534964160125,0.0005031633909318
test,mlp,<=0.25d,135,0.0002798743981230948,0.0009360650738122,0.004489521440648928,0.016607538457891258,0.1597026192314501
test,mlp,"(0.25,0.5]d",135,0.0006649035307149211,0.0009698676581395873,0.005817278557841889,0.027468471957726535,0.1485676184069105
test,mlp,"(0.5,1]d",275,0.0004857855235397167,0.0004417770909351603,0.0038353581264442957,0.00651873431237833,0.3079580101666069
test,mlp,"(1,2]d",542,0.0001409737010367142,0.00031604555439194466,0.0020873223958052475,0.005775892415139177,0.0884172458396363
test,mlp,"(2,3]d",544,0.000357978551219421,0.000250524753133675,0.0019801554362485407,0.0041417592000021555,0.3521206490122563
test,mlp,"(3,7]d",2174,9.492334558778839e-05,0.0002121358586232399,0.0010639166445916251,0.0030967730386072187,0.0713551360215328
test,mlp,"(7,15]d",4281,6.076427568828743e-05,0.0001565077729592,0.0007192713297776323,0.0020356631905953,0.01267328792731
test,mlp,>15d,106,5.584252178474834e-05,0.000141770958035425,0.0006200197079442992,0.001933164708541475,0.002460073477485
