split,model_type,n_fix_future,n,price_abs_error_mean,price_abs_error_p95,delta_abs_error_mean,delta_abs_error_p95,delta_abs_error_max
reference,dml,1,36,0.00013913484741124522,0.000284724283219225,0.00018639283681478954,0.00035729108773065,0.0010148794774259
reference,dml,2,90,0.000208039669844061,0.0003094393620449847,0.0005781093685663012,0.0008055585777337948,0.0301813146475902
reference,dml,3,90,0.00034753933667360057,0.0002557757687769149,0.0003799895008686108,0.0007101849099654249,0.0129100792268635
reference,dml,4,91,7.770666761279654e-05,0.00017949685578915,0.00019304981935506805,0.0005989426128738501,0.0010139389671392
reference,dml,5,87,9.725928284392386e-05,0.00017717016566375004,0.00015549818284495828,0.0003500159600895201,0.0015397694635816
reference,dml,6,90,8.32671090482601e-05,0.00018572773453567995,0.00014257253057973246,0.00034393344408190985,0.0010578782112352
reference,dml,7,90,9.58774530176348e-05,0.000228990394760555,0.0001535689369583023,0.00037083235515711496,0.0024740631176771
reference,dml,8,90,7.863913629665142e-05,0.00016659360419569,0.0001174586113012399,0.00029691331360334993,0.0005543331222434
reference,dml,9,91,7.307827010920571e-05,0.00019556605780315,0.00013910626874044546,0.00045497875774715005,0.0008540055227642
reference,dml,10,90,5.122740700058532e-05,0.00011284943998776999,0.00011114631705157097,0.00031689832435190994,0.000551114395571
reference,dml,11,89,8.145623222146154e-05,0.00017535643554571998,0.00012570098737074782,0.0003507098788993592,0.0015433244717131
reference,dml,12,90,7.543044640424118e-05,0.00018516853039648998,8.512470083147503e-05,0.0002312744423661499,0.0006107546360033
reference,mlp,1,36,0.0001217806837320941,0.00029137922867805,0.0015673959521435498,0.002916400893546725,0.0038474013988742
reference,mlp,2,90,0.0004461230337626311,0.00029595383918223494,0.004139128597689946,0.0042048281950944144,0.1792626997464846
reference,mlp,3,90,0.0003610892368161496,0.0003387495401735698,0.003408836482462041,0.00553635814394206,0.1396794487744994
reference,mlp,4,91,7.093178876904991e-05,0.00017473904594985,0.0010929490695534736,0.0031286823967605,0.0071186733991394
reference,mlp,5,87,0.00010059650819727235,0.00019620345763461002,0.0020515627536635992,0.0026099793722687207,0.1004636158630412
reference,mlp,6,90,6.011444156768371e-05,0.00018163712366794482,0.0007449558279748545,0.002094439529292099,0.0053399614872173
reference,mlp,7,90,8.588167314600977e-05,0.00021946387426864992,0.000942952377621615,0.003269942435780554,0.0148001089765724
reference,mlp,8,90,5.887937623264627e-05,0.00015375835415023498,0.0006344419777973783,0.001954730820382524,0.0037981881943484
reference,mlp,9,91,6.020051196781765e-05,0.0001406491677562,0.0007416900876435981,0.0020828436212785,0.0150433386417397
reference,mlp,10,90,5.970658603634631e-05,0.00014586565787655994,0.0006082128564310305,0.0017550381318384833,0.0110233302566635
reference,mlp,11,89,6.11927879268018e-05,0.00015744416421035982,0.0006284618137157659,0.002430689484128612,0.0086805329956756
reference,mlp,12,90,4.706424901487541e-05,0.00012491492511302,0.00041209526746752135,0.0013169087805368887,0.0024271739421705
test,dml,1,288,0.000213177635917419,0.0002635048205120048,0.000351862181752364,0.000371154559002735,0.0481636468982291
test,dml,2,718,0.0002105940844670116,0.00026593128115348495,0.0004532996719729321,0.0007015594269153098,0.0727300646297241
test,dml,3,719,0.00031623121027661013,0.0002507753472692101,0.0004753829100699582,0.0005992932166687501,0.0601130994191367
test,dml,4,718,0.00029670960160750224,0.00022972082804766997,0.00034335672012714895,0.000560599342639485,0.0505074467799102
test,dml,5,719,8.020464304512749e-05,0.00019042053402397013,0.0001609282770903474,0.00040482965647408,0.002875580206606
test,dml,6,718,8.927655540816591e-05,0.00021025689784014495,0.00014415464784729885,0.00038487734531485483,0.0032454130768394
test,dml,7,719,9.670555553243721e-05,0.00020023822128612003,0.00015846270997123225,0.0003629301600392,0.0183502166367061
test,dml,8,718,8.076713263943699e-05,0.00018216982107161498,0.0001223066377719394,0.00037580268944267494,0.0010681509250257
test,dml,9,719,7.392251473924214e-05,0.00018690591152784012,0.0001495253538793487,0.0004408948524476802,0.0022838992616758
test,dml,10,718,6.0798212817951145e-05,0.00014464304889111494,0.00011953796326345532,0.00029494820606515497,0.0043718550652449
