n_fix_future,hedge_step,tau,n_path_blocks,mean_forward_spot_jacobian,mean_inverse_forward_spot_jacobian,delta_mae_mlp_ensemble_vs_oracle,delta_rmse_mlp_ensemble_vs_oracle,pnl_diff_mae_mlp_ensemble_vs_oracle,pnl_diff_rmse_mlp_ensemble_vs_oracle,delta_mae_dml_ensemble_vs_oracle,delta_rmse_dml_ensemble_vs_oracle,pnl_diff_mae_dml_ensemble_vs_oracle,pnl_diff_rmse_dml_ensemble_vs_oracle
12,0,1.0,2038,0.06593607482405672,15.166204580245212,0.00035695334538011337,0.0003576982475526969,0.00034185286803724686,0.00043353534948901144,0.00010092739026606207,0.00010353107567360609,9.609413683457312e-05,0.00012409998961431673
11,1,0.9166666666666666,2038,0.06612605866460408,15.20211866989652,0.000636866919870131,0.0007933254177588242,0.0006171615494245943,0.0010070244437020404,0.00010787049190966567,0.00011806351084630474,0.00010192684196606038,0.00013626067782819358
10,2,0.8333333333333334,2038,0.06592259060345121,15.249591687989144,0.0002222434605441618,0.0003523022336200965,0.00020392285833920314,0.00034005050704119966,5.5352960324548955e-05,0.00021340828760805033,4.894481317855197e-05,9.610444813915621e-05
9,3,0.75,2038,0.0660559652938955,15.212017445917704,0.0005313790170000471,0.002999974236700426,0.00048536891808516564,0.003000716797991172,7.806026181644954e-05,0.0002831013417124101,7.714666835467638e-05,0.0005543186554428578
8,4,0.6666666666666667,2038,0.06612676401732104,15.20170720843507,0.0004479744864268531,0.000765430746035338,0.0004176431207745456,0.0008170139840736394,5.548940946607373e-05,0.00011761356852697435,5.278889089105202e-05,0.00016227316801778615
7,5,0.5833333333333333,2038,0.06602436424840388,15.224969745669055,0.0005985529649023716,0.0029815443358912593,0.0004778357683793442,0.0019360269988314802,0.00016396098191275618,0.0019487448022875854,0.00011395555830450652,0.0012117878379515783
6,6,0.5,2038,0.06627127427045049,15.167900204396513,0.0026086419596312734,0.018709846093185777,0.0022190839255438856,0.018189337593840636,0.00083414568963603,0.0058672729890443176,0.0007003628063441486,0.006272802661275338
5,7,0.41666666666666663,2038,0.06626821024702155,15.168598725678242,0.002999041721913392,0.019082137853914702,0.002519833690550459,0.020438366823566274,0.0011217410701242741,0.007920260672713737,0.000930877212821859,0.008190704960568868
4,8,0.33333333333333337,2038,0.0661120097435965,15.203625902454602,0.0021262541397018757,0.013693256433239777,0.0019500336944966795,0.016278106173999957,0.0015673516520454639,0.009599261213070186,0.0013756389768734014,0.010705961215454996
3,9,0.25,2038,0.0660497023112568,15.221828086946392,0.012002693846332705,0.03972430176575049,0.011685235625502832,0.06009421029775764,0.00547666720141442,0.017051415303795083,0.005190278384291778,0.020490745452459474
2,10,0.16666666666666663,2038,0.06617389199302366,15.192478880224556,0.01078503434483164,0.0518489307502536,0.009176452562160035,0.05466556248842244,0.0010776921611021111,0.0077053000105406335,0.0009296794267409528,0.007553459508513658
1,11,0.08333333333333337,2038,0.06611864778892411,15.20387259252901,0.02338228477548242,0.057265184821382015,0.020539094842178272,0.061184417845825234,0.010497733403959531,0.025600007848503754,0.009010195470985272,0.02746874621969188
