block_id,outer_seed,strategy,n_paths,mean_error,std_error,rmse,mae,p95_abs_error,p99_abs_error,max_abs_error,loss_var95,loss_cvar95,loss_var99,loss_cvar99,prob_shortfall
1,12101,no_hedge,510,-0.0006197963647503921,0.01611830751223607,0.01611442127870405,0.012418774282008674,0.03675983600943789,0.050502385127753936,0.07004182302833822,0.03675983600943789,0.046572614157799536,0.050502385127753936,0.058492413979621814,0.37450980392156863
1,12101,oracle_rqmc,510,0.0001106148989360805,0.0022832249644931016,0.0022836659339327886,0.0017218545246897633,0.0044136901714176,0.006144448743713961,0.01205269201306485,0.0034798376226173305,0.005238056233557026,0.006118251929192674,0.00813654488679398,0.4647058823529412
1,12101,mlp_ensemble,510,0.0027993666855635154,0.08651761522487439,0.08647807319569085,0.030678288792373942,0.18615902392933173,0.43714146369228424,0.6069055579058581,0.10209094137690991,0.2067002596595722,0.24988038637923263,0.38163797810484934,0.43529411764705883
1,12101,dml_ensemble,510,0.0011540908405209731,0.030988513695144923,0.030979622158646285,0.011436905023848334,0.06894951837240623,0.1400231450200584,0.2442352017188552,0.027536975364891688,0.07640852742200642,0.104394075989256,0.14915013521456014,0.4372549019607843
2,12201,no_hedge,509,0.0007780511343422152,0.014035454334137583,0.014043230410586248,0.011568411865221848,0.029864635730652688,0.040888805479636456,0.06028048546443793,0.029864635730652688,0.037415452360178104,0.040888805479636456,0.0472354965775072,0.3575638506876228
2,12201,oracle_rqmc,509,8.881129331410674e-05,0.0022467901486158894,0.002246338309975029,0.001704227612718301,0.004627498056297431,0.006613985039162278,0.012078336659759006,0.003777270024911378,0.005126131534268822,0.00579655505864344,0.007326867037020982,0.48722986247544203
2,12201,mlp_ensemble,509,0.00072731113089551,0.08425273552544445,0.08417307411784677,0.029688396438679685,0.17657267506126753,0.4331649097633298,0.6715787830277585,0.07663627493297326,0.22651715883538132,0.4128003808732241,0.46292573897160016,0.3850687622789784
2,12201,dml_ensemble,509,-0.0002848430447532354,0.038779020179161273,0.03874195525280482,0.013922696344944233,0.07077190976513788,0.1966805564031433,0.31032586781393906,0.04029301433381617,0.10955955136681542,0.14998118273576477,0.22458857559415515,0.4361493123772102
3,12301,no_hedge,509,0.0010291623696304184,0.014595103974482795,0.014617035749726389,0.01173873604603837,0.029438620515445945,0.04493859141626114,0.07327245944511201,0.029438620515445945,0.040786999907270874,0.04493859141626114,0.05661553865875648,0.3300589390962672
3,12301,oracle_rqmc,509,-2.8949042843939856e-05,0.002253564108968386,0.0022515354167892184,0.0017308992029188104,0.004554269893204618,0.006554580208711107,0.010763217209764905,0.0036262717699238273,0.005180894489732234,0.005861633730661083,0.007346447892830327,0.4931237721021611
3,12301,mlp_ensemble,509,0.0007863871510599705,0.1397305979067961,0.13959548551060283,0.04449353508067326,0.22862100499129134,0.6086285882970297,1.683016035646306,0.14672884324229107,0.3225399983858107,0.43999054982753893,0.6520165736639044,0.4577603143418468
3,12301,dml_ensemble,509,0.0026914102387288093,0.049290800599960334,0.049315854096499745,0.017195543723684995,0.09374121402567716,0.22600042460834907,0.47019292026120396,0.034862891184401903,0.11308149316890326,0.1741709586896391,0.22918148816812453,0.45579567779960706
4,12401,no_hedge,510,-0.00014752728958028713,0.015149995730907036,0.015135854488057805,0.012164279548766097,0.03188740119822436,0.04561463207300917,0.06744862114940237,0.03188740119822436,0.04110901258865441,0.04561463207300917,0.053704539441167244,0.3568627450980392
4,12401,oracle_rqmc,510,-0.00013598624117123833,0.0024533526515860193,0.002454715798050482,0.0018116277410066804,0.004994009632638771,0.0069536579141408214,0.012069661890887429,0.004225606119159138,0.006036881106731996,0.006915643711467414,0.00933130219740315,0.4764705882352941
4,12401,mlp_ensemble,510,-0.0043208192181404806,0.10650116728861872,0.10648440223410431,0.0367597059642661,0.21803645273537656,0.5459089004917154,0.8530509682069566,0.11464647133596444,0.2909256173632149,0.3447028208780465,0.5638489072479032,0.4470588235294118
4,12401,dml_ensemble,510,-0.0007200717532176022,0.0331817335395863,0.033157006298627105,0.012014482646223816,0.0760355484742265,0.17259616055817817,0.22192891783312024,0.03312894142338575,0.09325524756808148,0.12973280225808229,0.17307752181904576,0.4666666666666667
