shock_size,strategy,n_blocks,rmse_block_mean,rmse_block_sd,rmse_block_min,rmse_block_max,mae_block_mean,mae_block_sd,p95_abs_block_mean,p95_abs_block_sd
0.005,dml_ensemble,4,5.027344271386818e-07,7.025099214989825e-09,4.951617597252755e-07,5.111178536414994e-07,3.934679698183239e-07,6.365754675471734e-09,9.647033663921072e-07,1.5910961074902823e-08
0.005,mlp_ensemble,4,3.3336858472215486e-06,1.9147955746863858e-07,3.200472249317281e-06,3.6159271156499747e-06,2.2385950349637838e-06,7.121303577167016e-08,6.698819816581597e-06,1.6680492074416772e-07
0.005,no_hedge,4,6.773455090589664e-05,1.2538544864254344e-06,6.639184975828478e-05,6.890379182802191e-05,6.00118923260341e-05,1.6687340477429025e-06,0.0001115804163236951,9.519146590702012e-07
0.005,oracle_rqmc,4,8.949825163268992e-08,3.1988605796571398e-09,8.629827810866072e-08,9.308661159832198e-08,6.77648041821005e-08,2.4267623229430954e-09,2.000053624452663e-07,6.542934802998854e-09
0.01,dml_ensemble,4,1.058163723777865e-06,2.210957346050572e-08,1.0329319386205928e-06,1.076845521613902e-06,8.269105090451362e-07,1.3439615969779529e-08,2.072646047475943e-06,2.219799570788869e-08
0.01,mlp_ensemble,4,6.6795417377159904e-06,3.80038385116718e-07,6.414128257520746e-06,7.239154259661627e-06,4.494208158365095e-06,1.4226389009932198e-07,1.3505623211547605e-05,3.697147512151461e-07
0.01,no_hedge,4,0.00013546781876896854,2.5184986514744778e-06,0.00013276633858929816,0.0001378259761976738,0.00012002501370823954,3.3493263931347415e-06,0.00022319879240480196,1.931320211377417e-06
0.01,oracle_rqmc,4,3.4889659199927555e-07,1.4834660520115617e-08,3.354176686439428e-07,3.6578556338789397e-07,2.623987926448091e-07,1.0574505633646612e-08,7.84236940019584e-07,3.691086578611411e-08
0.02,dml_ensemble,4,2.415599435051634e-06,6.002758553842625e-08,2.363064393873516e-06,2.480615416957899e-06,1.8759217133372263e-06,4.2992817432914884e-08,4.8854930209714584e-06,7.219528242859924e-08
0.02,mlp_ensemble,4,1.3412094893770621e-05,7.493610814760507e-07,1.291050225355279e-05,1.4516362995701304e-05,9.03055712013592e-06,2.6667824646833854e-07,2.7213760065465758e-05,7.95972462737549e-07
0.02,no_hedge,4,0.0002709257435976963,5.04895901954592e-06,0.0002655540046059082,0.00027560788838148397,0.00024003484133087088,6.691425275255012e-06,0.00044607624249844955,4.0011743757283296e-06
0.02,oracle_rqmc,4,1.3726821485174751e-06,6.197852276748983e-08,1.3138659011475645e-06,1.4406754670134995e-06,1.025791236583092e-06,4.659603621112289e-08,3.1113936390300577e-06,1.4634262189783375e-07
