shock_size,n_fix_future,tau,distance_to_nearest_fixing_days,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs
0.005,12,0.9583333333333334,15.208333333333332,dml_ensemble,1024,-1.0872079021423146e-08,4.058708557218976e-07,3.296270689066357e-07,2.796732420854582e-07,7.795931330807342e-07,1.055707211920101e-06,1.4546890557459637e-06
0.005,12,0.9583333333333334,15.208333333333332,mlp_ensemble,1024,-1.0872079021421485e-08,1.568679787677815e-06,1.302353050337841e-06,1.2302140520290247e-06,3.0858551268506147e-06,4.135566733749087e-06,4.7707224967134815e-06
0.005,12,0.9583333333333334,15.208333333333332,no_hedge,1024,-1.0872079022121339e-08,6.20289950917551e-05,6.187386856737538e-05,6.17097164064672e-05,6.95742656292948e-05,7.190377261588499e-05,7.551447615252588e-05
0.005,12,0.9583333333333334,15.208333333333332,oracle_rqmc,1024,-1.0872079021420366e-08,3.3486326811195107e-08,2.717746686567367e-08,2.3425093269747733e-08,6.343132663366527e-08,8.108340211640349e-08,1.1044275791253805e-07
0.005,11,0.875,15.20833333333333,dml_ensemble,1024,-1.1090884455098232e-08,4.381969096591919e-07,3.350635855909051e-07,2.7091006502191e-07,8.430074851949164e-07,1.3636998600174437e-06,1.6884348762266513e-06
0.005,11,0.875,15.20833333333333,mlp_ensemble,1024,-1.109088445508722e-08,1.8424967698664662e-06,1.2495906894663391e-06,7.147293294490173e-07,3.617323813426985e-06,4.378146257802894e-06,1.2867703242811963e-05
0.005,11,0.875,15.20833333333333,no_hedge,1024,-1.1090884455792829e-08,6.317011569497387e-05,6.156663866212957e-05,6.097599750693166e-05,8.626208810313882e-05,9.53211863295398e-05,0.00010202145050727113
0.005,11,0.875,15.20833333333333,oracle_rqmc,1024,-1.1090884455096108e-08,4.551448618538312e-08,3.6026339828179867e-08,3.011755217708671e-08,9.326998811321037e-08,1.1859524508747183e-07,1.4233903387349841e-07
0.005,10,0.7916666666666667,15.20833333333333,dml_ensemble,1024,-9.660550575463287e-09,4.6287231058674865e-07,3.553069316162968e-07,2.8350698676511433e-07,9.425045875953832e-07,1.2958013038687798e-06,1.7367016739074927e-06
0.005,10,0.7916666666666667,15.20833333333333,mlp_ensemble,1024,-9.660550575453067e-09,2.0528422509093295e-06,1.3997018146830786e-06,8.410800464046591e-07,5.166653838989724e-06,5.975488833852593e-06,6.717234209110219e-06
0.005,10,0.7916666666666667,15.20833333333333,no_hedge,1024,-9.660550576101338e-09,6.436259686874668e-05,6.142429989571566e-05,6.132790979902856e-05,9.279299491417383e-05,9.840855663676297e-05,0.0001017908096315398
0.005,10,0.7916666666666667,15.20833333333333,oracle_rqmc,1024,-9.66055057546252e-09,5.479631635047741e-08,4.282655507802618e-08,3.430848812810877e-08,1.1458489878614342e-07,1.3820187045089688e-07,1.7543777815494485e-07
0.005,9,0.7083333333333334,15.20833333333332,dml_ensemble,1022,-8.633734708603497e-09,3.7479918146909324e-07,2.9829948049189473e-07,2.509680485607383e-07,7.503625901745369e-07,9.807671245166236e-07,1.1201571068134014e-06
0.005,9,0.7083333333333334,15.20833333333332,mlp_ensemble,1022,-8.63373470859795e-09,2.831398084133385e-06,1.915541764494332e-06,1.4577146817746775e-06,5.4155321323243875e-06,7.355832431700512e-06,2.807543239902119e-05
0.005,9,0.7083333333333334,15.20833333333332,no_hedge,1022,-8.633734709268441e-09,6.630001868829497e-05,6.21453708821548e-05,6.359454581164863e-05,9.862005898868697e-05,0.00010560715415835142,0.0001107398529498066
0.005,9,0.7083333333333334,15.20833333333332,oracle_rqmc,1022,-8.633734708602916e-09,6.434537001682721e-08,5.060163018362824e-08,4.2658289029993675e-08,1.323329015511355e-07,1.7452236780003349e-07,2.0117249423759638e-07
0.005,8,0.625,15.20833333333334,dml_ensemble,1022,-1.0520471078593623e-08,4.4034068092164783e-07,3.6002066438731343e-07,3.2847908368722234e-07,8.121147398968282e-07,1.0513744361022488e-06,1.5314610502999916e-06
0.005,8,0.625,15.20833333333334,mlp_ensemble,1022,-1.0520471078592037e-08,2.4367106778370777e-06,1.5091777037616554e-06,9.272068849405871e-07,4.9350924991152934e-06,9.861289712202424e-06,1.6080838118555116e-05
0.005,8,0.625,15.20833333333334,no_hedge,1022,-1.0520471079302565e-08,6.713011524534413e-05,6.193727731453291e-05,6.267775011235648e-05,0.00010247140616961858,0.0001074488783106274,0.0001130677692038895
0.005,8,0.625,15.20833333333334,oracle_rqmc,1022,-1.0520471078596988e-08,7.036399400951579e-08,5.530773091341393e-08,4.4038188157373594e-08,1.4555261973988352e-07,1.8788134287659205e-07,2.145823786572161e-07
0.005,7,0.5416666666666666,15.20833333333332,dml_ensemble,1022,-1.3261599843559779e-08,5.251128074605239e-07,4.3232812627108764e-07,3.9170276442505327e-07,9.63595433684064e-07,1.3194504828199999e-06,2.256358102725831e-06
0.005,7,0.5416666666666666,15.20833333333332,mlp_ensemble,1022,-1.3261599843560593e-08,2.7459705132477738e-06,1.732436447475297e-06,1.2468945995156155e-06,4.005314585038874e-06,8.796565837257119e-06,2.386710033762946e-05
0.005,7,0.5416666666666666,15.20833333333332,no_hedge,1022,-1.3261599844238947e-08,6.986004626039394e-05,6.325644944155555e-05,6.376509903190976e-05,0.0001068624210676319,0.00011275605358918146,0.00011421169326459452
0.005,7,0.5416666666666666,15.20833333333332,oracle_rqmc,1022,-1.3261599843564109e-08,7.9988593241282e-08,6.330322916832624e-08,5.2375778999055596e-08,1.6708480896409638e-07,1.960264825219222e-07,2.1433928070249946e-07
0.005,6,0.45833333333333326,15.20833333333332,dml_ensemble,1024,-7.869899296515754e-09,4.622759377570517e-07,3.783912086319281e-07,3.3681416448153826e-07,8.492603453392547e-07,1.0460461206298296e-06,1.7055200760448364e-06
0.005,6,0.45833333333333326,15.20833333333332,mlp_ensemble,1024,-7.869899296510121e-09,2.9672132476410604e-06,2.2618744980830384e-06,1.9424620305479077e-06,5.017566424962977e-06,8.913903585809675e-06,2.1021647508157065e-05
0.005,6,0.45833333333333326,15.20833333333332,no_hedge,1024,-7.869899297239036e-09,7.027940170945392e-05,6.231313548091212e-05,6.39587037593657e-05,0.0001096624053370923,0.00011411578676228114,0.00011628782687762851
0.005,6,0.45833333333333326,15.20833333333332,oracle_rqmc,1024,-7.869899296518383e-09,8.875109616826285e-08,7.122905519639852e-08,5.837210108729316e-08,1.884584841686192e-07,2.1424724650798082e-07,2.2089817430464664e-07
0.005,5,0.375,15.20833333333332,dml_ensemble,1022,-1.0515415565501774e-08,5.47921399663905e-07,4.4429353913284117e-07,3.7311493659471946e-07,1.0415170345122282e-06,1.4245791576211987e-06,1.8285026844547884e-06
0.005,5,0.375,15.20833333333332,mlp_ensemble,1022,-1.0515415565505275e-08,3.1417712113908434e-06,2.1890816623317545e-06,1.5113393635091363e-06,6.700174754541253e-06,1.0672011208279736e-05,2.0464393755298264e-05
0.005,5,0.375,15.20833333333332,no_hedge,1022,-1.0515415566210096e-08,7.255563153121431e-05,6.317956592060313e-05,6.655415019059209e-05,0.00011215115817572105,0.00011607576952461589,0.00011800917854382781
0.005,5,0.375,15.20833333333332,oracle_rqmc,1022,-1.051541556550468e-08,9.888688813947801e-08,8.069101003801125e-08,6.963409854043493e-08,2.044755591485798e-07,2.182519698186024e-07,2.2159663118268794e-07
0.005,4,0.29166666666666674,15.20833333333332,dml_ensemble,1024,-1.418517123933747e-08,6.405772462851003e-07,5.104582697555708e-07,4.3476257786993305e-07,1.217513273225714e-06,1.5879756947835449e-06,2.665364381177076e-06
0.005,4,0.29166666666666674,15.20833333333332,mlp_ensemble,1024,-1.4185171239330796e-08,3.410310886257331e-06,2.7670492518753814e-06,2.392415756299011e-06,6.561395445669846e-06,8.34790298331746e-06,1.100768060945646e-05
0.005,4,0.29166666666666674,15.20833333333332,no_hedge,1024,-1.4185171240034423e-08,7.460672686847156e-05,6.346633844119397e-05,6.56052763839828e-05,0.00011412365337495882,0.00011699690283079364,0.00011907119969466196
0.005,4,0.29166666666666674,15.20833333333332,oracle_rqmc,1024,-1.4185171239342201e-08,1.1249476884635238e-07,9.298751839372072e-08,8.194393529990031e-08,2.1154134109608895e-07,2.2036416130020703e-07,2.2610544236219244e-07
0.005,3,0.20833333333333326,15.20833333333332,dml_ensemble,1024,-9.806220816288628e-09,5.714944863570688e-07,4.333139111661178e-07,3.3195490778507383e-07,1.109398384533836e-06,1.556639348511777e-06,2.6014245826620086e-06
0.005,3,0.20833333333333326,15.20833333333332,mlp_ensemble,1024,-9.806220816279629e-09,4.999891804588069e-06,3.6966921192490688e-06,2.707278936316261e-06,1.0743882863309505e-05,1.4007749193444712e-05,2.3548444094914202e-05
0.005,3,0.20833333333333326,15.20833333333332,no_hedge,1024,-9.8062208170086e-09,7.66269523815417e-05,6.431831950291607e-05,7.0996467203674e-05,0.00011525466972042292,0.00011725498263968254,0.00011822493322047323
0.005,3,0.20833333333333326,15.20833333333332,oracle_rqmc,1024,-9.806220816292635e-09,1.2771493149894125e-07,1.0721061978128748e-07,1.0077738257967744e-07,2.1729843760733897e-07,2.2262976833099282e-07,2.650616282576983e-07
0.005,2,0.125,15.20833333333332,dml_ensemble,1024,-9.860575607525191e-09,6.007518537648907e-07,4.644866716685087e-07,3.783797616787709e-07,1.198197611001366e-06,1.4412141038887939e-06,2.7651784678444844e-06
0.005,2,0.125,15.20833333333332,mlp_ensemble,1024,-9.860575607524042e-09,5.259768825115811e-06,3.817202911621708e-06,2.6476341183930997e-06,1.098980318237712e-05,1.592792332027814e-05,2.7825310719083898e-05
0.005,2,0.125,15.20833333333332,no_hedge,1024,-9.860575608210557e-09,7.754906174981847e-05,6.28125503611685e-05,6.833095062713963e-05,0.0001162447094149416,0.00011770616383845647,0.00012015127781041593
0.005,2,0.125,15.20833333333332,oracle_rqmc,1024,-9.860575607528315e-09,1.4673226303270208e-07,1.2374513268538952e-07,1.272116142748709e-07,2.2194693623379433e-07,2.5267516229473886e-07,3.0946512841353407e-07
0.005,1,0.060000000000000005,8.51666666666666,dml_ensemble,1024,-3.7982503981257005e-08,4.902250873808898e-07,3.79988978816947e-07,3.098453634204666e-07,8.9235332235771e-07,1.0092648839021782e-06,3.518655070880389e-06
