shock_size,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs,rmse_improvement_vs_nohedge_pct,mae_improvement_vs_nohedge_pct
0.005,dml_ensemble,12280,-1.2856308004504468e-08,5.027755145368738e-07,3.9347120808550044e-07,3.24181709246295e-07,9.680725496089228e-07,1.3672970541426149e-06,3.518655070880389e-06,99.25782865096622,99.34435357767775
0.005,mlp_ensemble,12280,-1.285630800450158e-08,3.3378816392439695e-06,2.238625300025335e-06,1.5347283925386678e-06,6.651252059394018e-06,1.2260373267969532e-05,2.807543239902119e-05,95.07279084305704,96.26974823387145
0.005,no_hedge,12280,-1.2856308005167952e-08,6.774385931111793e-05,6.0012713360329026e-05,6.055053818958874e-05,0.00011186337125292205,0.00011605720656718026,0.00012015127781041593,0.0,0.0
0.005,oracle_rqmc,12280,-1.285630800450613e-08,8.954302225756235e-08,6.776617518673451e-08,5.059476108616521e-08,2.0004067729785422e-07,2.202338325177282e-07,3.0946512841353407e-07,99.86782119712677,99.8870803011691
0.01,dml_ensemble,12280,-5.0218090172180214e-08,1.0583511617970894e-06,8.269183846842503e-07,6.734501378302611e-07,2.0731670858360777e-06,2.8755809664723283e-06,7.293784713951912e-06,99.21885171455853,99.31105438771323
0.01,mlp_ensemble,12280,-5.021809017218012e-08,6.687792154796191e-06,4.494265289612869e-06,3.1063855021521734e-06,1.342632356800871e-05,2.444754704161709e-05,5.60301511785461e-05,95.0638714599818,96.25561069982278
0.01,no_hedge,12280,-5.02180901721783e-08,0.00013548658833693053,0.00012002665666735459,0.0001209936887858849,0.0002236491899338902,0.00023213957801624248,0.00024068208536121016,0.0,0.0
0.01,oracle_rqmc,12280,-5.021809017218023e-08,3.491414749000868e-07,2.6240434213383496e-07,1.9307506348515481e-07,7.919490452475836e-07,8.75808557356216e-07,1.0433240719290245e-06,99.7423055084745,99.78137827927586
0.02,dml_ensemble,12280,-1.977884764678739e-07,2.416192479009614e-06,1.8759463152090146e-06,1.4795169450054692e-06,4.8897585165109905e-06,6.552510045486804e-06,1.5621730014569768e-05,99.10829589377671,99.21847993933696
0.02,mlp_ensemble,12280,-1.9778847646787374e-07,1.3428065019991762e-05,9.030657934059937e-06,6.205213387690966e-06,2.7261750774729e-05,4.916978426167032e-05,0.00011395689465253529,95.04432663333677,96.23782392958971
0.02,no_hedge,12280,-1.9778847646787588e-07,0.0002709634801664342,0.0002400381525225923,0.00024197671996225266,0.00044690276172738435,0.00046473427469393216,0.0004832607630178634,0.0,0.0
0.02,oracle_rqmc,12280,-1.977884764678739e-07,1.3737631991230132e-06,1.0258129743794928e-06,7.492430734832563e-07,3.1186475132487223e-06,3.4976809299130542e-06,3.6500250614207737e-06,99.49300798827974,99.57264586333501
