block_id,shock_size,n_pairs,dml_lower_abs_residual_than_mlp,dml_lower_abs_residual_than_nohedge,mlp_lower_abs_residual_than_nohedge,oracle_lower_abs_residual_than_nohedge
1,0.005,3072,0.8675130208333334,0.9720052083333334,0.9567057291666666,0.98828125
1,0.01,3072,0.8629557291666666,0.9723307291666666,0.9567057291666666,0.98828125
1,0.02,3072,0.8515625,0.9713541666666666,0.9567057291666666,0.986328125
2,0.005,3066,0.8535551206784083,0.9752120026092629,0.9546640574037835,0.9915198956294846
2,0.01,3066,0.8610567514677103,0.9752120026092629,0.9546640574037835,0.9921722113502935
2,0.02,3066,0.8463796477495108,0.9755381604696673,0.9540117416829745,0.992498369210698
3,0.005,3070,0.8713355048859935,0.9700325732899023,0.954071661237785,0.9850162866449511
3,0.01,3070,0.8680781758957655,0.9700325732899023,0.9537459283387623,0.9843648208469056
3,0.02,3070,0.8576547231270358,0.970358306188925,0.9527687296416938,0.9850162866449511
4,0.005,3072,0.8577473958333334,0.9837239583333334,0.97265625,0.9928385416666666
4,0.01,3072,0.8531901041666666,0.9837239583333334,0.97265625,0.9931640625
4,0.02,3072,0.8479817708333334,0.9833984375,0.9723307291666666,0.994140625
