split,train_size,model_type,n_seeds,price_mse_mean,price_mse_sd,price_rmse_mean,price_rmse_sd,price_mae_mean,price_mae_sd,price_r2_mean,price_r2_sd,price_max_abs_error_mean,price_max_abs_error_sd,price_p95_abs_error_mean,price_p95_abs_error_sd,price_p99_abs_error_mean,price_p99_abs_error_sd,delta_mse_mean,delta_mse_sd,delta_rmse_mean,delta_rmse_sd,delta_mae_mean,delta_mae_sd,delta_r2_mean,delta_r2_sd,delta_max_abs_error_mean,delta_max_abs_error_sd,delta_p95_abs_error_mean,delta_p95_abs_error_sd,delta_p99_abs_error_mean,delta_p99_abs_error_sd,selected_epoch_mean,selected_epoch_sd,training_seconds_mean,training_seconds_sd
reference,1024,dml,5,8.940251476025533e-05,1.6142765156256746e-06,0.009454981564358738,8.542817079096494e-05,0.006049169563457268,0.00012242521497383396,0.9322279742887531,0.001223710427110733,0.04401164513030917,0.0006869093160733975,0.02174056534892878,0.00038964835997387035,0.03261560924739274,0.0006230543555909396,0.0002129839587089825,5.9174800194193485e-05,0.014483409976144699,0.00200461784758803,0.010313764692922858,0.0021763409916018147,0.30193291958216084,0.19394878495197895,0.0645346652203183,0.002823396919841306,0.03006909363847273,0.002618786075620334,0.046203213521384456,0.0015329586812929126,353.6,41.07675741827731,284.95962896000054,1.117155539661042
reference,1024,mlp,5,8.836423572425406e-05,4.852481245516533e-07,0.009400196971499167,2.5802646955498943e-05,0.006052518258821733,7.398952874137055e-05,0.9330150469310834,0.0003678447800001916,0.04404138209351316,0.0007346291588304995,0.02157002122876648,0.00035853239708295083,0.031663275800878646,0.0004399900261107697,0.0008573138113163908,0.0001084302825126047,0.029231353958427686,0.0018847271266368359,0.020683007840231853,0.0012012868668557215,-1.8098949465262386,0.35538643943546533,0.11673163187897988,0.016127282607747838,0.06404990269633704,0.004405913071284491,0.08975394526176515,0.008660614171708067,220.4,11.802542099056458,266.21377684000106,4.253939257720032
reference,4096,dml,5,7.311032202383737e-05,1.1060396772577258e-06,0.00855026304444257,6.445826825396339e-05,0.005209758853200735,9.466231829340958e-05,0.9445783528881252,0.0008384389370453501,0.04663082312127595,0.0018253618379125147,0.019234418069365013,0.00031920292734198297,0.030902490174100267,0.0005395271827125504,0.00013008845240716072,4.6028391228482125e-06,0.011404225439818387,0.00020029517268230635,0.006179539226233676,0.00015436054201186218,0.5736276726266343,0.015086067925472152,0.07082329019290812,0.0012771986983769069,0.024809921487733415,0.0010194631713447031,0.050353307922522364,0.0018992323675306791,421.6,34.93994848307593,455.02842046000006,0.6745464752698995
reference,4096,mlp,5,7.480408959557956e-05,1.454172699010914e-06,0.008648607059284504,8.430250347561213e-05,0.005272059891144539,8.553752108044239e-05,0.9432943838663498,0.0011023429241363032,0.04518434847707647,0.0015522978914381139,0.01970040816098361,0.0002755922235750107,0.028826157028809925,0.00042089904772660725,0.0006981077093049986,0.00015330396167154205,0.02629219403629925,0.0029215240163716375,0.017792211596691424,0.0015651227101752144,-1.2880878607275748,0.5024624839787443,0.10471881112127075,0.019594858294341388,0.058294392875639076,0.00667472638895372,0.08240303946017499,0.016997508135180327,379.6,105.97782786979548,365.390091299999,0.13099615670134995
reference,16384,dml,5,5.891706806344151e-05,2.6068380080200543e-05,0.0074217987408008905,0.0021891697954041396,0.00424528158435729,0.0016582306286070062,0.9553376203976542,0.019761266557026577,0.04463054231201284,0.004110516266453869,0.016868786086230554,0.005424918895437363,0.02674238294294575,0.006979355379626725,9.378195583140424e-05,3.613518921788261e-05,0.009468468138879435,0.002272131965365691,0.005046048546658642,0.001809808804788324,0.6926242872940737,0.11843514502488983,0.06745653191511428,0.0017011923860353686,0.02070411077961701,0.006212584048680038,0.0395749739698127,0.00818043270037811,696.4,1070.6506433006052,1086.2833604799985,3.3507738182229594
reference,16384,mlp,5,7.057281818233196e-05,2.1421847104135597e-07,0.008400755214489413,1.2747968509321424e-05,0.0049775080239905884,1.8117791708814314e-05,0.9465019204303811,0.00016238938877915455,0.04666817948645806,0.0013385932967759626,0.019073502330561033,0.00010941267605806318,0.028954798513358592,0.00029985221905659115,0.00040934784339980937,2.304765855610488e-05,0.02022597403940064,0.0005676900092707579,0.013687994255441958,0.00048587038244174533,-0.3416609196746621,0.07554001632916785,0.07299835686250603,0.003641999545293552,0.04408746292521559,0.0007963664945196189,0.05808344283013913,0.0012482647148433933,227.4,52.39561050317098,784.3606170199994,1.5279788811639266
reference,65536,dml,5,6.807591576256338e-07,4.2045264812394475e-07,0.0008005510209559369,0.00022326335478544434,0.00011625321910187576,5.843077910551592e-05,0.9994839470986081,0.00031872624338847314,0.022605025064198613,0.003899852892718844,0.0002724084880144751,0.000148497753849567,0.000516955397139942,0.00023032975163156315,2.28899557050862e-06,3.3069638881359354e-06,0.0011581826865524735,0.0010883522149784017,0.00019801696570286172,0.00011838969016215535,0.9924976863765707,0.01083876288351154,0.03365128147283183,0.033787220058063686,0.0005327744208997933,0.00024374484723966385,0.0012940626660438213,0.0004932753950152365,2376.6,557.7291457329445,3362.7928579399972,3.283441555689227
reference,65536,mlp,5,1.3852882485567296e-06,4.4976956887347753e-07,0.0011634117423380643,0.00019925287434137303,0.00012813717969916962,2.5163350700444958e-05,0.9989498752797902,0.0003409500825292227,0.03163145390333434,0.008617912794525456,0.0002490718104291476,8.216134373409157e-05,0.0006625219798047274,6.293708038055754e-05,9.109280942399396e-05,3.8400049265657585e-05,0.009371628155020472,0.0020203326297981127,0.0014042515463297037,0.00027001472183663924,0.7014381181234742,0.12585835309505988,0.248558333356448,0.0739249893942738,0.0035452037783017297,0.0009066123245253951,0.009499300048505138,0.0023261099791700695,2407.6,585.7041061833185,2493.8814542599966,3.2446215834036805
test,1024,dml,5,8.523247707564651e-05,8.292449100222912e-07,0.00923205618747398,4.493922242738078e-05,0.005911089617951238,0.00011400327641242688,0.9346824862840124,0.0006354879928718122,0.065917634790002,0.0016251342964063557,0.020515524652223473,0.00016933998282900748,0.03158568137897471,0.00021163264030419843,0.0002246935238058944,6.394756411268797e-05,0.01487004856328276,0.0021139948945972814,0.010468025385469917,0.002187648565105355,0.2719802400681708,0.20719373431413102,0.08872027187507463,0.0063669120628314065,0.030711816999034237,0.003103804298636505,0.047451081310538254,0.001633522268019202,353.6,41.07675741827731,284.95962896000054,1.117155539661042
test,1024,mlp,5,8.495694747033916e-05,6.269180457949971e-07,0.00921715913207389,3.4003756520485254e-05,0.005961023061201191,7.0706502746276e-05,0.934893637119836,0.00048043573834739904,0.06669374097881635,0.00013778175484156446,0.02041227046945155,0.00012456400003176438,0.030909566274478457,0.00030068323847549667,0.0008956800978531703,0.00011048765981201708,0.0298806503338436,0.0018797717546762142,0.0208842467668817,0.0011630823459084852,-1.9020543127806717,0.35798628375805547,0.1387991074292248,0.009928816519078988,0.064731722245723,0.004828028776966995,0.09352846419274563,0.008349086887818956,220.4,11.802542099056458,266.21377684000106,4.253939257720032
