run_name,model_type,train_size,seed,selected_epoch,training_seconds,parameter_count,lambda_delta,split,n_eval,protocol_sha256,price_mse,price_rmse,price_mae,price_r2,price_max_abs_error,price_p95_abs_error,price_p99_abs_error,delta_mse,delta_rmse,delta_mae,delta_r2,delta_max_abs_error,delta_p95_abs_error,delta_p99_abs_error
dml_n1024_seed1701,dml,1024,1701,337,285.17776349999986,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.982674962091066e-05,0.00947769748519706,0.006037659097744794,0.9319063809201432,0.04358494964067528,0.02186441310248626,0.031689655175762575,0.00018805976792744583,0.013713488539662175,0.00958108693197482,0.38362337738052443,0.06472964890596125,0.02860370096355693,0.046866547589602243
mlp_n1024_seed1701,mlp,1024,1701,228,261.9217785000001,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.89726461319439e-05,0.009432531268537832,0.006004205158402296,0.9325538383632537,0.04431556441478253,0.02202568750959914,0.032106362364123814,0.0009389114408429924,0.030641661848584394,0.021549771922899925,-2.0773358343655017,0.11367508550410536,0.06659315481048773,0.09547163332817586
dml_n1024_seed2701,dml,1024,2701,390,283.05065190000096,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,9.024488107208557e-05,0.00949973057892094,0.0059759764687964175,0.9315894142717699,0.04323729862127115,0.022357196871437165,0.03333779614804574,0.0001523353693524767,0.012342421535196272,0.00767020015269926,0.500712132627988,0.0684281481382677,0.028072468192768367,0.04836654206601439
mlp_n1024_seed2701,mlp,1024,2701,208,265.9799563000015,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.808140782365902e-05,0.0093851695681889,0.00602615367361641,0.9332294460428129,0.04308939405480818,0.021688959661109956,0.03159854429523995,0.000773837666852488,0.02781793786125219,0.019679719024196567,-1.5362971187664676,0.10869022506274653,0.06035733852847173,0.08437804323902086
dml_n1024_seed3701,dml,1024,3701,290,285.78029349999997,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,9.136144367399299e-05,0.00955831803582581,0.006246085701684044,0.9307429983787985,0.04502105473085545,0.021574305326058543,0.03248687199531895,0.00026067408172673987,0.01614540435315077,0.012338700403302476,0.14562581954716936,0.061415221815140385,0.032134177749543004,0.044355640712656415
mlp_n1024_seed3701,mlp,1024,3701,215,273.3174224000031,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.876764777428851e-05,0.009421658440757047,0.006183635661968789,0.9327092383987341,0.04394336793286016,0.021030823168721718,0.031202616623360418,0.0009295721429902666,0.03048888556491146,0.021603294589763983,-2.0467257526263745,0.1388390091845634,0.06535005787033157,0.09684912074370126
dml_n1024_seed4701,dml,1024,4701,367,285.74704930000007,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.828702921483966e-05,0.009396117773572214,0.006061584133800556,0.9330735737136368,0.0439224926192887,0.021551497566800543,0.03300768127879057,0.0001739802031534429,0.01319015553939539,0.009199556138222549,0.4297699544979662,0.06585135081467512,0.027934012648417942,0.045273774830825946
mlp_n1024_seed4701,mlp,1024,4701,214,265.1735597000006,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.81775730735157e-05,0.009390291426442297,0.006030781461192006,0.9331565474917677,0.04508758824839605,0.021529487600440003,0.032127662523904636,0.0007087569345977382,0.026622489263735994,0.019095212334332055,-1.3229913044135473,0.09678721004423765,0.05869038527138752,0.07707898755611055
dml_n1024_seed5701,dml,1024,5701,384,285.0423866000019,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.729247021944776e-05,0.009343043948277658,0.005924542415260528,0.9338275041594168,0.04429243003945524,0.021355413877861405,0.03255604163904585,0.00028987037138480747,0.017025579913318885,0.012779279838415192,0.04993331385715638,0.06224895642754699,0.03360110863807742,0.0461535624078233
mlp_n1024_seed5701,mlp,1024,5701,237,264.6761673000001,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,8.782190381786315e-05,0.009371334153569765,0.006017815338929167,0.9334261643588483,0.0437709958167189,0.021575148203961586,0.03128119319776439,0.0009354908712984688,0.030585795253654412,0.02148704132996672,-2.0661247224593025,0.12566662959924646,0.06925857700100661,0.09499194144181726
