lambda_delta,seed,selected_epoch,parameter_count,training_seconds,select_balanced_score,select_price_mse_std,select_price_rmse,select_price_mae,select_delta_rmse,select_delta_mae,select_diff_mse_weighted
0.25,1701,272,100225,238.8963700000004,0.15690078120678663,0.05066589079797268,0.008044200291094171,0.004919994622468948,0.010446970702827029,0.005913915112614632,0.2631356716156006
0.25,3701,255,100225,255.7950662000003,0.1694060480222106,0.05067112855613232,0.0080446156707644,0.004916860954836011,0.010932085952921887,0.006441539619117975,0.2881409674882889
0.25,5701,247,100225,279.58023330000105,0.15923117194324732,0.050399305298924446,0.008023009403377503,0.004890097305178642,0.010544330085132414,0.005923619493842125,0.2680630385875702
0.5,1701,262,100225,280.0641086000014,0.15746101923286915,0.05092966929078102,0.008065112673529976,0.004923569271340966,0.01046396388008329,0.005554626462981105,0.2639923691749573
0.5,3701,323,100225,279.65661,0.16884364280849695,0.05179360695183277,0.008133230687059402,0.005022253142669797,0.010889371064482642,0.005954021355137229,0.28589367866516113
0.5,5701,266,100225,278.99187469999924,0.16752580925822258,0.051384977996349335,0.00810108357932156,0.005063012009486556,0.010846875850810336,0.00616614380851388,0.2836666405200958
1.0,1701,262,100225,279.2315137000005,0.1623209435492754,0.05238281562924385,0.008179362336949507,0.005017064278945327,0.010626535935467134,0.005651009269058704,0.27225907146930695
1.0,3701,276,100225,279.8043667000002,0.17641582991927862,0.05312266759574413,0.00823692211572537,0.005195062840357423,0.011149372131448902,0.006226262077689171,0.2997089922428131
1.0,5701,394,100225,279.4677718999992,0.17926465813070536,0.052667709067463875,0.008201574724737743,0.005100998328998685,0.011263231374149993,0.006239479407668114,0.30586160719394684
2.0,1701,345,100225,279.46210800000154,0.17658671364188194,0.053829021751880646,0.008291503159810691,0.005422553280368447,0.01114258901577149,0.006191164255142212,0.29934440553188324
2.0,3701,334,100225,279.6027419999991,0.1699909921735525,0.05415324494242668,0.008316435935719789,0.005225570406764746,0.010888134377517709,0.005947478348389268,0.28582873940467834
2.0,5701,334,100225,280.2997030000006,0.17004554718732834,0.05490095913410187,0.008373653689387509,0.00523083982989192,0.010875964153209416,0.006152816349640489,0.2851901352405548
4.0,1701,325,100225,279.4959241999986,0.1730374963954091,0.05619814433157444,0.008472001202938123,0.005410501966252923,0.010964966742666553,0.0059760629665106535,0.2898768484592438
4.0,3701,361,100225,279.1122808,0.19209806434810162,0.05764773115515709,0.008580570069141698,0.00542652583681047,0.01163789114695686,0.006437089294195175,0.32654839754104614
4.0,5701,683,100225,280.3509293999996,0.29351278208196163,0.05871055647730827,0.00865930670665441,0.005453870631754398,0.01480290681148343,0.007984249852597713,0.528315007686615
