candidate_rank,screen_trial,architecture_signature,model_type,seed,max_epochs,selected_epoch,parameter_count,training_seconds,lambda_delta,scaler,params,val_price_mse_std,val_price_mae,val_price_rmse,val_delta_mae,val_delta_rmse,val_diff_mse_weighted,val_balanced_score
1,1,"[""plain"", 128, ""gelu"", ""depth"", 5]",mlp,2701,3000,285,66945,631.1650132000068,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'gelu', 'optimizer': 'adamw', 'learning_rate': 0.0029171912777973845, 'scheduler': 'constant', 'depth': 5, 'weight_decay': 9.016821807906862e-05}",0.01608168426901102,0.0069091832265257835,0.012623787466615322,0.05047367885708809,0.07950074087750274,0.03857397846877575,0.027327831368893385
1,1,"[""plain"", 128, ""gelu"", ""depth"", 5]",mlp,3701,3000,256,66945,594.2307211000007,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'gelu', 'optimizer': 'adamw', 'learning_rate': 0.0029171912777973845, 'scheduler': 'constant', 'depth': 5, 'weight_decay': 9.016821807906862e-05}",0.016214825212955475,0.006741583812981844,0.012675935946528617,0.05139525979757309,0.08015554308579576,0.03921202011406422,0.027713422663509846
1,1,"[""plain"", 128, ""gelu"", ""depth"", 5]",mlp,4701,3000,639,66945,592.1150737999997,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'gelu', 'optimizer': 'adamw', 'learning_rate': 0.0029171912777973845, 'scheduler': 'constant', 'depth': 5, 'weight_decay': 9.016821807906862e-05}",0.004078993806615472,0.0022912928834557533,0.006357705719074811,0.029453219845891,0.0736754050754138,0.03312814608216286,0.018603569944389164
2,27,"[""residual"", 96, ""softplus"", ""n_blocks"", 3]",mlp,2701,3000,1278,56545,622.589034500008,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'softplus', 'optimizer': 'adamw', 'learning_rate': 0.00436067129790408, 'scheduler': 'constant', 'n_blocks': 3, 'weight_decay': 0.00027491308659767207}",0.013243949972093105,0.006014218553900719,0.011455990962981354,0.05023019202053547,0.08247553623191867,0.04151475057005882,0.027379350271075964
2,27,"[""residual"", 96, ""softplus"", ""n_blocks"", 3]",mlp,3701,3000,1204,56545,617.6151711999992,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'softplus', 'optimizer': 'adamw', 'learning_rate': 0.00436067129790408, 'scheduler': 'constant', 'n_blocks': 3, 'weight_decay': 0.00027491308659767207}",0.014247448183596134,0.00626859487965703,0.01188207933482374,0.05020991899073124,0.0799921987825839,0.03905236907303333,0.026649908628314734
2,27,"[""residual"", 96, ""softplus"", ""n_blocks"", 3]",mlp,4701,3000,2651,56545,617.4947880999971,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'softplus', 'optimizer': 'adamw', 'learning_rate': 0.00436067129790408, 'scheduler': 'constant', 'n_blocks': 3, 'weight_decay': 0.00027491308659767207}",0.004507833975367248,0.0018674613675102592,0.00668356026356684,0.028473650105297565,0.09795171624191533,0.05855664610862732,0.031532240041997284
3,64,"[""plain"", 128, ""silu"", ""depth"", 4]",mlp,2701,3000,2486,50433,578.4537740000087,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0015078763039060694, 'scheduler': 'onecycle', 'depth': 4, 'weight_decay': 0.0}",0.0032214202219620347,0.001817719079554081,0.005649988978388024,0.02854726742953062,0.06288102725344714,0.024131890386343002,0.013676655304152519
3,64,"[""plain"", 128, ""silu"", ""depth"", 4]",mlp,3701,3000,2866,50433,576.960496700005,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0015078763039060694, 'scheduler': 'onecycle', 'depth': 4, 'weight_decay': 0.0}",0.011279230937361717,0.004685328574851155,0.01057215853186847,0.07855737954378128,0.14642919454759756,0.13086015731096268,0.0710696941241622
3,64,"[""plain"", 128, ""silu"", ""depth"", 4]",mlp,4701,3000,2676,50433,577.1904281000025,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0015078763039060694, 'scheduler': 'onecycle', 'depth': 4, 'weight_decay': 0.0}",0.003502000472508371,0.0019899777835235,0.005890905152381967,0.03657827712595463,0.07828807797701293,0.037406183779239655,0.020454092125874013
4,44,"[""plain"", 128, ""silu"", ""depth"", 3]",mlp,2701,3000,1298,33921,560.5084758000012,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0027726767061636588, 'scheduler': 'onecycle', 'depth': 3, 'weight_decay': 9.507415391217449e-07}",0.01610151305794716,0.006797977723181248,0.012631568353356519,0.05161990411579609,0.08044664122038095,0.03949734568595886,0.02779942937195301
