central_probability,lower_percentile,upper_percentile,parameter,lower,median,upper
0.8,9.999999999999998,90.0,phi,0.7878212558451132,0.8775179405816858,0.9336595737534858
0.8,9.999999999999998,90.0,kappa,25.05483707839235,47.69012574265051,87.04667735280944
0.8,9.999999999999998,90.0,sigma,0.5508230091242119,0.6306699046025743,0.7119350342143954
0.8,9.999999999999998,90.0,theta_log,0.9448261328814903,0.991448746518574,1.0405479649869251
0.8,9.999999999999998,90.0,long_run_price,2.5723660898261667,2.6951362145600513,2.8307677510580143
0.8,9.999999999999998,90.0,half_life_days,2.906471891042477,5.305054601128516,10.097799484134699
0.9,4.999999999999999,95.0,phi,0.7554073378957322,0.8775179405816858,0.9453246881492408
0.9,4.999999999999999,95.0,kappa,20.52279122756089,47.69012574265051,102.3818265340774
0.9,4.999999999999999,95.0,sigma,0.5278958654942352,0.6306699046025743,0.7357315568452323
0.9,4.999999999999999,95.0,theta_log,0.932005980148344,0.991448746518574,1.0559842368377887
0.9,4.999999999999999,95.0,long_run_price,2.5395984555094135,2.6951362145600513,2.8748032492060154
0.9,4.999999999999999,95.0,half_life_days,2.471129201734312,5.305054601128516,12.327696457738318
0.95,2.500000000000002,97.5,phi,0.7247964878415698,0.8775179405816858,0.9538645108235392
0.95,2.500000000000002,97.5,kappa,17.240278539581,47.69012574265051,117.4804963617187
0.95,2.500000000000002,97.5,sigma,0.5100252328523577,0.6306699046025743,0.7541718374991653
0.95,2.500000000000002,97.5,theta_log,0.9209204421128427,0.991448746518574,1.0692624344217727
0.95,2.500000000000002,97.5,long_run_price,2.5116011097780535,2.6951362145600513,2.9132300095459964
0.95,2.500000000000002,97.5,half_life_days,2.153538216886911,5.305054601128516,14.674862947920815
