engine,n_paths,mean_abs_price_error,median_abs_price_error,mean_abs_delta_error,median_abs_delta_error,mean_time_seconds
mc,256,0.0027117479693581827,0.0009389725975038621,0.008379917836464804,0.003807076777631873,0.0001676983333557776
mc,512,0.001529924385898379,0.00044097156946947544,0.005841431726480915,0.0020752267505898814,0.00019482499997138802
mc,1024,0.001239250442257768,0.0005234175912802314,0.005210491504635453,0.0020719493542584455,0.00025890000009288393
mc,2048,0.0009209758986423743,0.0004897880229407497,0.0039117634062155945,0.001381089757377607,0.0003968666667181727
mc,4096,0.0005016147278035153,0.00020028005624594405,0.0017196957839993583,0.0007704635442612358,0.0007432983332819276
rqmc,256,0.0003251138144177391,9.43789133239526e-05,0.0048083205292302,0.0011197299993651083,0.00048710166664326
rqmc,512,0.0001816855107918131,3.9059798254727543e-05,0.003054533504470153,0.0011197299993651083,0.0005413483332480004
rqmc,1024,9.90226755704207e-05,2.8595486189658804e-05,0.0016648505838788147,0.0005534354984820244,0.0006219600000046436
rqmc,2048,6.015746399943799e-05,1.1320713868413628e-05,0.0014167246717859043,0.0003464671063580782,0.0008038949999596904
rqmc,4096,3.027171887766128e-05,8.163556195803223e-06,0.0011169924736015445,0.0003275210480786091,0.0012377783332794933
